seed_bank,source_url,extraction_methods_used,scraped_at,seed_type,growth_type,genetics,cannabis_type,flowering_time,yield,terpene_profile,breeder_name,about_info,strain_name,data_completeness_score,quality_tier,effects,strain_type,indica_sativa_cbd,plant_height,height,thc_content,cbd_content
North Atlantic Seed Company,https://www.northatlanticseed.com/product/vidamints/,"['structured', 'description', 'patterns', 'fallback']",2026-01-09T23:58:35.685605,Feminized,Autoflower,"Mendo Cookies, Remedy
Filial Generation:Â F4
Phenotypic Variation:Â Very Low
First Sign of Flower:Â 25-30 days from sprout
Total Life Cycle:Â 75-85 days
Height:Â Low
Yield Index (Per Sf):Â Average
Nose:Â Fruit Bowl, Citrus, Fuel, Cookies, Gelato
Plants are generally small and compact",Feminized Autoflower,25-30 days,"Index (Per Sf):Â Average
Nose:Â Fruit Bowl, Citrus, Fuel, Cookies, Gelato
Plants are generally small and compact","Fruit Bowl, Citrus, Fuel, Cookies, Gelato",Twenty20 Mendocino,Buy Vidamints Auto (CBD) online from North Atlantic Seed Co. Voted #1 by the ICA Cannabis Awards. Fast shipping & premium genetics.,Vidamints,94,Premium,,CBD,CBD Hybrid,Low,"Low
Yield Index (Per Sf):Â Average
Nose:Â Fruit Bowl, Citrus, Fuel, Cookies, Gelato
Plants are generally small and compact",,
North Atlantic Seed Company,https://www.northatlanticseed.com/product/tonics-web-cbd-r/,"['structured', 'description', 'patterns', 'fallback']",2026-01-09T23:58:54.286363,Regular,Photoperiod,Charlotte's Web x Chocolate Tonic,Regular M/F Photoperiod,,"very well, and are great for beginners, and home growers",,Purple Caper Seeds,Buy Tonicâ€™s Web CBD (R) online from North Atlantic Seed Co. Voted #1 by the ICA Cannabis Awards. Fast shipping & premium genetics.,Tonics Web Cbd R,69.9,High,,CBD,CBD Hybrid,,,,
North Atlantic Seed Company,https://www.northatlanticseed.com/product/tonics-web-cbd-f/,"['structured', 'description', 'patterns', 'fallback']",2026-01-09T23:58:54.498686,Feminized,Photoperiod,Charlotte's Web x Chocolate Tonic,Feminized Photoperiod,,"very well, and are great for beginners, and home growers looking to provide their own medicine",,Purple Caper Seeds,Buy Tonicâ€™s Web CBD (F) online from North Atlantic Seed Co. Voted #1 by the ICA Cannabis Awards. Fast shipping & premium genetics.,Tonics Web Cbd F,69.9,High,,CBD,CBD Hybrid,,,,
North Atlantic Seed Company,https://www.northatlanticseed.com/product/sweet-nurse-cbd-auto/,"['structured', 'description', 'patterns', 'fallback']",2026-01-09T23:59:10.971603,Feminized,Autoflower,between a selection of our best 4th Generation autoflowering strains and a photoperiod-dependent clone rich in CBD,,55 - 65 days,Indoor: 400 - 600 g/m2 / Outdoor: 50 - 125 g/plant,"Sweet, fruit aroma with tones of Skunk, citrus and spicy notes.",Sweet Seeds,Buy Sweet Nurse CBD Auto online from North Atlantic Seed Co. Voted #1 by the ICA Cannabis Awards. Fast shipping & premium genetics.,Sweet Nurse Cbd,95.2,Premium,of other type of strains rich in THC,CBD,,60-110 cm,,.,.
North Atlantic Seed Company,https://www.northatlanticseed.com/product/red-pure-cbd-auto/,"['structured', 'description', 'patterns', 'fallback']",2026-01-10T00:00:28.700939,Feminized,Autoflower,between two of our own strains: Sweet Pure CBDÂ® and Red Poison AutoÂ®,,60 - 70 days,450-500 g/m2,"Berry, Earthy, Pine, Sweet",Sweet Seeds,Buy Red Pure CBD Auto online from North Atlantic Seed Co. Voted #1 by the ICA Cannabis Awards. Fast shipping & premium genetics.,Red Pure Cbd,88,Premium,"that washes away anxiety, which makes it ideal for medicinal users who do not want to feel any psychotropic effects from the THC",CBD,,,,.,
North Atlantic Seed Company,https://www.northatlanticseed.com/product/purplematic-cbd-auto/,"['structured', 'description', 'patterns', 'fallback']",2026-01-10T00:00:41.706593,Feminized,Autoflower,bred high-CBD varieties Kush Rose Auto CBD and Afghan Rose Auto CBD,Feminized Photoperiod,50 - 60 days,ofÂ 400-450g/mÂ²,,Royal Queen Seeds,Buy Purplematic CBD Auto online from North Atlantic Seed Co. Voted #1 by the ICA Cannabis Awards. Fast shipping & premium genetics.,Purplematic Cbd,92.8,Premium,", flavour, and aroma

Purplematic CBD features a cannabinoid profile ofÂ 17% CBDÂ and less thanÂ 0",CBD,CBD Hybrid,Indoor: 70 - 120 cm; Outdoor: 100 - 140 cm,ofÂ 120cmÂ and produce a yield ofÂ 400-450g/mÂ²,.,.
North Atlantic Seed Company,https://www.northatlanticseed.com/product/painkiller-xl-f/,"['structured', 'description', 'patterns', 'fallback']",2026-01-10T00:01:37.207284,Feminized,Photoperiod,Respect 13 x Juanita la Lagrimosa,Feminized Photoperiod,55 - 65 days,"s in No Time at All
With a bloom period ofÂ 8 weeks, the Painkiller XL seed can produceÂ 500â€“550g/mÂ²Â indoors and an equal amount per plant outdoors",,Royal Queen Seeds,Buy Painkiller XL (F) online from North Atlantic Seed Co. Voted #1 by the ICA Cannabis Awards. Fast shipping & premium genetics.,Painkiller Xl F,86.7,Premium,,CBD,CBD Hybrid,Indoor: 60 - 100 cm; Outdoor: 120 - 150 cm,"; outside, the average height is aroundÂ 135cm,Â with harvest time at the end of September",,
North Atlantic Seed Company,https://www.northatlanticseed.com/product/magic-runtz-cake-cbd-auto/,"['structured', 'description', 'patterns', 'fallback']",2026-01-10T00:02:33.713501,Feminized,Autoflower,Magic Bullet X Runtz Cake A,Feminized Autoflower,,"ing, grow well indoors and out","Tropical, Floral, Citris, to Berry and Gas",Purple Caper Seeds,Buy Magic Runtz Cake CBD Auto online from North Atlantic Seed Co. Voted #1 by the ICA Cannabis Awards. Fast shipping & premium genetics.,Magic Runtz Cake Cbd,77.1,High,,CBD,CBD Hybrid,,,,
North Atlantic Seed Company,https://www.northatlanticseed.com/product/luxors-magic-cbd-r/,"['structured', 'description', 'patterns', 'fallback']",2026-01-10T00:02:34.328711,Regular,Photoperiod,Magic Bullet x Luxor THCV,Regular M/F Photoperiod,45 - 55 days,,,Purple Caper Seeds,Buy Luxorâ€™s Magic CBD (R) online from North Atlantic Seed Co. Voted #1 by the ICA Cannabis Awards. Fast shipping & premium genetics.,Luxors Magic Cbd R,72.3,High,,CBD,CBD Hybrid,,,,
North Atlantic Seed Company,https://www.northatlanticseed.com/product/fast-eddy-cbd-auto/,"['structured', 'description', 'patterns', 'fallback']",2026-01-10T00:05:01.589749,Feminized,Autoflower,"with those of the pungent and flavourful Cheese (plus a bit of ruderalis), we have created an irresistible blend of connoisseur-level flavour and a reliable relaxing high that offers both mellow tones and functionality",Feminized Autoflower,50 - 60 days,"s, and induce a clear, mellow, and most importantly, functional high",,Royal Queen Seeds,Buy Fast Eddy CBD Auto online from North Atlantic Seed Co. Voted #1 by the ICA Cannabis Awards. Fast shipping & premium genetics.,Fast Eddy Cbd,92.8,Premium,"Perfect for Daytime Use
Fast Eddy produces a very pungent citrusy skunk aroma and taste, inducing a clear and comfortable buzz when smoked",CBD,CBD Hybrid,Indoor: 60 - 100 cm; Outdoor: 80 - 120 cm,"s betweenÂ 60-100cm, going from seed to harvest in as little asÂ 10-12 weeks",,-
North Atlantic Seed Company,https://www.northatlanticseed.com/product/dance-world-f/,"['structured', 'description', 'patterns', 'fallback']",2026-01-10T00:05:27.021189,Feminized,Photoperiod,of two phenotypes of Dancehall with Juanita la Lagrimosa,Feminized Photoperiod,55 - 65 days,s ofÂ 450g/plant,,Royal Queen Seeds,Buy Dance World (F) online from North Atlantic Seed Co. Voted #1 by the ICA Cannabis Awards. Fast shipping & premium genetics.,Dance World F,92.8,Premium,tell a different story,CBD,CBD Hybrid,Indoor: 60 - 100 cm; Outdoor: 80 - 120 cm,s of 120cm and treat cultivators toÂ yields ofÂ 450g/plant,,.
North Atlantic Seed Company,https://www.northatlanticseed.com/product/chocolate-hashberry-cbd-r/,"['structured', 'description', 'patterns', 'fallback']",2026-01-10T00:05:55.165944,Regular,Photoperiod,Chocolate Hashberry x Tonics Web,Regular M/F Photoperiod,55 - 65 days,Indoors: 2.25 lbs per 750w ; Outdoors: 2-5 lbs per plant,,Purple Caper Seeds,Buy Chocolate Hashberry CBD (R) online from North Atlantic Seed Co. Voted #1 by the ICA Cannabis Awards. Fast shipping & premium genetics.,Chocolate Hashberry Cbd R,79.5,High,,CBD,CBD Hybrid,,,,.
North Atlantic Seed Company,https://www.northatlanticseed.com/product/cherry-tonic-web-cbd/,"['structured', 'description', 'patterns', 'fallback']",2026-01-10T00:05:59.044189,Feminized,Photoperiod,Berry Cherry Wine x Tonic's Web,Feminized Photoperiod,55 - 70 Days,! Outdoors these plants are capable of up to 5lbs per plant,,Purple Caper Seeds,Buy Cherry Tonic Web CBD (F) online from North Atlantic Seed Co. Voted #1 by the ICA Cannabis Awards. Fast shipping & premium genetics.,Cherry Tonic Web Cbd,79.5,High,,CBD,CBD Hybrid,,of 12 ft,,
North Atlantic Seed Company,https://www.northatlanticseed.com/product/cherry-tonic-web-cbd-2/,"['structured', 'description', 'patterns', 'fallback']",2026-01-10T00:05:59.284146,Regular,Photoperiod,Berry Cherry Wine x Tonicâ€™s Web,Regular M/F Photoperiod,55 - 70 Days,! Outdoors these plants are capable of up to 5lbs per plant,,Purple Caper Seeds,Buy Cherry Tonic Web CBD (R) online from North Atlantic Seed Co. Voted #1 by the ICA Cannabis Awards. Fast shipping & premium genetics.,Cherry Tonic Web Cbd 2,86.7,Premium,,CBD,CBD Hybrid,Up to 12ft,of 12 ft,,
North Atlantic Seed Company,https://www.northatlanticseed.com/product/charlottes-web-f/,"['structured', 'description', 'patterns', 'fallback']",2026-01-10T00:06:11.447605,Feminized,Photoperiod,Secret Hybrid,Feminized Photoperiod,70 - 80 days,350-400 gr/m2 indoors and 400-450 gr/plant outdoors,,Blimburn Seeds,Buy Charlotteâ€™s Web (F) online from North Atlantic Seed Co. Voted #1 by the ICA Cannabis Awards. Fast shipping & premium genetics.,Charlottes Web F,79.5,High,,CBD,CBD Hybrid,,,,-
North Atlantic Seed Company,https://www.northatlanticseed.com/product/charlottes-cookies-cbd-f/,"['structured', 'description', 'patterns', 'fallback']",2026-01-10T00:06:11.723019,Feminized,Photoperiod,Charlotte's Web x Cookie F2,Feminized Photoperiod,60 - 70 days,,,Purple Caper Seeds,Buy Charlotteâ€™s Cookies CBD (F) online from North Atlantic Seed Co. Voted #1 by the ICA Cannabis Awards. Fast shipping & premium genetics.,Charlottes Cookies Cbd F,72.3,High,,CBD,CBD Hybrid,,,,
North Atlantic Seed Company,https://www.northatlanticseed.com/product/charlottes-angel-cbd/,"['structured', 'description', 'patterns', 'fallback']",2026-01-10T00:06:11.964841,Feminized,Photoperiod,come from Dutch Charlotte (CBD rich clone) crossed with Red Angel (clone-only Amsterdam CBD variety),Feminized Photoperiod,75 - 85 days,,,Dutch Passion,Buy Charlotteâ€™s Angel CBD (F) online from North Atlantic Seed Co. Voted #1 by the ICA Cannabis Awards. Fast shipping & premium genetics.,Charlottes Angel Cbd,78.3,High,"and a calming, anti-anxiety experience",CBD,CBD Hybrid,,,,
North Atlantic Seed Company,https://www.northatlanticseed.com/product/cbd-white-widow-11-auto/,"['structured', 'description', 'patterns', 'fallback']",2026-01-10T00:06:14.363585,Feminized,Autoflower,the many breeders we work with,,60 - 70 days,Indoors: 300-350 gr/mÂ² ; Outdoors: 100-150 gr/plant,"Alpha Terpineol, Beta Caryophyllene, Gamma Terpinene, Humulene",Bulk White Label,Buy CBD White Widow 1:1 Auto online from North Atlantic Seed Co. Voted #1 by the ICA Cannabis Awards. Fast shipping & premium genetics.,Cbd White Widow 11,95.2,Premium,"is balanced and you do not feel high like the White Widow rich in THC, especially for people looking for great sensations without being in the cloud",CBD,,4.92 ft,,,.
North Atlantic Seed Company,https://www.northatlanticseed.com/product/cbd-white-widow-11-f/,"['structured', 'description', 'patterns', 'fallback']",2026-01-10T00:06:14.546848,Feminized,Photoperiod,the many breeders we work with,,56 - 70 days,Indoors: 400 - 500 gr/mÂ²; Outdoors: 500 - 550 gr/plant,"Alpha-Pinene, Beta-Caryophyllene, Caryophyllene, Guaiol, Humulene, Isopulegol, Neryl-acetate",Bulk White Label,Buy CBD White Widow 1:1 (F) online from North Atlantic Seed Co. Voted #1 by the ICA Cannabis Awards. Fast shipping & premium genetics.,Cbd White Widow 11 F,95.2,Premium,is balanced and you do not feel high as CBD White Widow (1:1) is rich in CBD,CBD,,4.92 ft,,,.
North Atlantic Seed Company,https://www.northatlanticseed.com/product/cbd-skunk-haze-f/,"['structured', 'description', 'patterns', 'fallback']",2026-01-10T00:06:14.793976,Feminized,Photoperiod,"in CBD Skunk Haze?
CBD Skunk Haze is the result of the joint project of Dutch Passion and the CBD Crew",Feminized Photoperiod,60 - 70 days,CBD Skunk Haze is suitable for both medical and recreational users,"Spicy, Cedar, Citrus, Pine",Dutch Passion,Buy CBD Skunk Haze (F) online from North Atlantic Seed Co. Voted #1 by the ICA Cannabis Awards. Fast shipping & premium genetics.,Cbd Skunk Haze F,92.8,Premium,without paranoia,CBD,CBD Hybrid,,,-,-
North Atlantic Seed Company,https://www.northatlanticseed.com/product/cbd-og-r/,"['structured', 'description', 'patterns', 'fallback']",2026-01-10T00:06:15.206150,Regular,Photoperiod,of 2012 Cannabis Cup-winning Lion's Tabernacle with another greatÂ Cup WinnerÂ in Tahoe OGÂ Kush,Regular M/F Photoperiod,60 - 70 days,s of 300 gr/m2Â in 9 weeks of flowering but this can easily be exceeded in the right hands,,Clearance,Buy CBD OG (R) online from North Atlantic Seed Co. Voted #1 by the ICA Cannabis Awards. Fast shipping & premium genetics.,Cbd Og R,79.5,High,,CBD,CBD Hybrid,,,,
North Atlantic Seed Company,https://www.northatlanticseed.com/product/cbd-northern-lights-auto/,"['structured', 'description', 'patterns', 'fallback']",2026-01-10T00:06:15.416085,Feminized,Autoflower,the many breeders we work with,,56 - 70 days,Indoors: 400 - 450 gr/mÂ²; Outdoors: 75 - 150 gr/plant,"Alpha-Pinene, Beta-Caryophyllene, Beta-Pinene, Myrcene",Bulk White Label,Buy CBD Northern Lights Auto online from North Atlantic Seed Co. Voted #1 by the ICA Cannabis Awards. Fast shipping & premium genetics.,Cbd Northern Lights,95.2,Premium,"is balanced and you do not feel high like the Northern Lights rich in THC, especially for people looking for great medicinal sensations without being in the cloud",CBD,,4.92 ft,,,.
North Atlantic Seed Company,https://www.northatlanticseed.com/product/cbd-auto-compassion-lime/,"['structured', 'description', 'patterns', 'fallback']",2026-01-10T00:06:16.242718,Feminized,Autoflower,"from the photoperiod CBD CompassionÂ® and our Californian Orange x USA Sour Diesel crossing, known as Daiquiri Lime",Feminized Autoflower,,s,,Dutch Passion,Buy CBD Auto Compassion Lime online from North Atlantic Seed Co. Voted #1 by the ICA Cannabis Awards. Fast shipping & premium genetics.,Cbd Auto Compassion Lime,68.7,High,of high CBD and medium-THC levels create a good medical variety with strong body effects and reduced pyscho-activity compared to typical THC-rich Dutch Passion auto varieties,CBD,CBD Hybrid,,,.,-
North Atlantic Seed Company,https://www.northatlanticseed.com/product/cbd-candyland-f/,"['structured', 'description', 'patterns', 'fallback']",2026-01-10T00:06:16.525773,Feminized,Photoperiod,the many breeders we work with,,60 - 70 days,Indoors: 350 - 400 gr/mÂ²; Outdoors: 400 - 600 gr/plant,"Alpha-Pinene, Beta-Pinene, Caryophyllene, Humulene, Limonene, Linalool, Myrcene",Bulk White Label,Buy CBD Candyland (F) online from North Atlantic Seed Co. Voted #1 by the ICA Cannabis Awards. Fast shipping & premium genetics.,Cbd Candyland F,95.2,Premium,is balanced and you do not feel high as CBD Candyland is rich in CBD,CBD,,4.92 ft,,,.
North Atlantic Seed Company,https://www.northatlanticseed.com/product/cbd-blueberry-116-f/,"['structured', 'description', 'patterns', 'fallback']",2026-01-10T00:06:16.731864,Feminized,Photoperiod,the many breeders we work with,,60 - 70 days,Indoors: 350 - 400 gr/mÂ²; Outdoors: 500 - 600 gr/plant,"Alpha Cedrene, Alpha-Pinene, Alpha-Terpineol, Beta-Caryophyllene, Borneol, Cadinene, Camphene, Citral, Delta-limonene, Eugenol, Farnesene, Fenchol, Humulene, Linalool, Myrcene, Nerolidol, Ocimene, Orange Terpenes, Phytol, Terpinolene",Bulk White Label,Buy CBD Blueberry 1:16 (F) online from North Atlantic Seed Co. Voted #1 by the ICA Cannabis Awards. Fast shipping & premium genetics.,Cbd Blueberry 116 F,95.2,Premium,is balanced and you do not feel high as CBD Blueberry (1:1) is rich in CBD,CBD,,4.92 ft,,,.
North Atlantic Seed Company,https://www.northatlanticseed.com/product/cbd-acdc-f/,"['structured', 'description', 'patterns', 'fallback']",2026-01-10T00:06:16.992283,Feminized,Photoperiod,the many breeders we work with,,60 - 70 days,Indoors: 450 - 500 gr/mÂ² ; Outdoors: 450 - 500 gr/plant,"Alpha Cedrene, Alpha-Pinene, Alpha-Terpineol, Beta-Caryophyllene, Borneol, Cadinene, Camphene, Citral, Delta-limonene, Eugenol, Farnesene, Fenchol, Humulene, Linalool, Myrcene, Nerolidol, Ocimene, Orange Terpenes, Phytol, Terpinolene",Bulk White Label,Buy CBD ACDC 1:18 (F) online from North Atlantic Seed Co. Voted #1 by the ICA Cannabis Awards. Fast shipping & premium genetics.,Cbd Acdc F,89.2,Premium,,CBD,,4.92 ft,,,
North Atlantic Seed Company,https://www.northatlanticseed.com/product/cbd-1-f/,"['structured', 'description', 'patterns', 'fallback']",2026-01-10T00:06:17.203669,Feminized,Photoperiod,Cannatonic S1/ErdPurt x Cannatonic S1,Feminized Photoperiod,50 - 60 days,,"Tangerine, Tropical Fruit, Sweet, Floral, Musky, Pine, Earthy",Ace Seeds,Buy CBD #1 (F) online from North Atlantic Seed Co. Voted #1 by the ICA Cannabis Awards. Fast shipping & premium genetics.,Cbd 1 F,85.5,Premium,", with hardly any psychoactivity (due to its high CBD/very low THC content) and high medicinal value that relieves both physical pain and mental discomfort (stress, anxiety, paranoia)",CBD,CBD Hybrid,,,,.
North Atlantic Seed Company,https://www.northatlanticseed.com/product/blackberry-kush-cbd-auto/,"['structured', 'description', 'patterns', 'fallback']",2026-01-10T00:06:54.751845,Feminized,Autoflower,give a delicious taste and aroma to this CBD seed variety,Feminized Autoflower,85 - 100 days,s are good,"Complex, fruity, earthy/piney kush aroma and taste",Dutch Passion,Buy Blackberry Kush CBD Auto online from North Atlantic Seed Co. Voted #1 by the ICA Cannabis Awards. Fast shipping & premium genetics.,Blackberry Kush Cbd,86.7,Premium,,CBD,CBD Hybrid,,,,
North Atlantic Seed Company,https://www.northatlanticseed.com/product/amnesia-cbd-pure-auto/,"['structured', 'description', 'patterns', 'fallback']",2026-01-10T00:07:29.850393,Feminized,Autoflower,of an Amnesia Autoflowering and an Auto CBD,Feminized Autoflower,75 - 85 days,Indoors: 25 - 75 g/plant; Outdoors: 45 - 150 g/plant,,Humboldt Seed Organization,Buy Amnesia CBD Pure Auto online from North Atlantic Seed Co. Voted #1 by the ICA Cannabis Awards. Fast shipping & premium genetics.,Amnesia Cbd Pure,79.5,High,,CBD,CBD Hybrid,,,,-
North Atlantic Seed Company,https://www.northatlanticseed.com/product/cbd-purple-120-auto/,"['structured', 'description', 'patterns', 'fallback']",2026-01-10T00:06:14.976578,Feminized,Autoflower,the many breeders we work with,,60 - 70 days,Indoors: 250-350 gr/mÂ² ; Outdoors: 400-600 gr/plant,"Beta-Caryophyllene, Limonene, Linalool, Myrcene, Para-Cymene, Terpinolene",Annaboto,Buy CBD Purple 1:20 Auto online from North Atlantic Seed Co. Voted #1 by the ICA Cannabis Awards. Fast shipping & premium genetics.,Cbd Purple 120,95.2,Premium,"is balanced without the high of THC-rich Purple, making it a great choice for those looking for great medicinal sensations without being in the clouds","CBD, Indica Dominant (60%+)",,4.92 ft,,-,-
North Atlantic Seed Company,https://www.northatlanticseed.com/product/zushi-verde-f-ships-late-september/,"['structured', 'description', 'patterns', 'fallback']",2026-01-09T23:58:08.868585,Feminized,Photoperiod,"Berry Verde x Blue Zushi
Type: Hybrid
Seed Type:Â Feminized
Flowering: 8-9 weeks
Yield: High
Characteristics: Exotic and creamy with vibrant berry overtones, subtle citrus, and a smooth â€œZâ€-style finish",,8-9 weeks,"High
Characteristics: Exotic and creamy with vibrant berry overtones, subtle citrus, and a smooth â€œZâ€-style finish","Sweet Berry Candy, Zesty Citrus, Pine, Funky Kush, Earthy Mint",Elev8 Seeds,Buy Zushi Verde (F) online from North Atlantic Seed Co. Voted #1 by the ICA Cannabis Awards. Fast shipping & premium genetics.,Zushi Verde F Ships Late September,88,Premium,"This hybrid offers a smooth, joyful lift that promotes creativity and sociability, quickly mellowing into a calm, joyful high",Hybrid,,,,,
North Atlantic Seed Company,https://www.northatlanticseed.com/product/zushi-supreme-blue-zushi-s1-f-ships-late-september/,"['structured', 'description', 'patterns', 'fallback']",2026-01-09T23:58:09.095672,Feminized,Photoperiod,"Blue Zushi x Blue Zushi
Type: Hybrid
Seed Type:Â Feminized
Flowering: 8-9 weeks
Yield: Medium to High
Characteristics: This is pure Zushi essence â€” dripping with blueberry kush, Z candy, and a hit of spiced gas",,8-9 weeks,"Medium to High
Characteristics: This is pure Zushi essence â€” dripping with blueberry kush, Z candy, and a hit of spiced gas","Creamy Blueberry, Sour Candy, Subtle Kushy Gas",Elev8 Seeds,Buy Zushi Supreme (Blue Zushi S1) (F) online from North Atlantic Seed Co. Voted #1 by the ICA Cannabis Awards. Fast shipping & premium genetics.,Zushi Supreme Blue Zushi S1 F Ships Late September,88,Premium,"Zushi Supreme delivers a happy, clear-headed high that gradually melts into full-body relaxation",Hybrid,,,,,
North Atlantic Seed Company,https://www.northatlanticseed.com/product/zombie-df-f/,"['structured', 'description', 'patterns', 'fallback']",2026-01-09T23:58:11.566304,Feminized,Photoperiod,the many breeders we work with,,55 - 70 Days,when it is fed with all the hours of sunshine outdoors,"Alpha Cedrene, Alpha-bisabolol, Alpha-Pinene, Beta-Caryophyllene, Borneol, Cadinene, Camphene, Citral, Eugenol, Farnesene, Fenchol, Humulene, Myrcene, Ocimene, Terpineol",Bulk White Label,Buy Zombie D.F. (F) online from North Atlantic Seed Co. Voted #1 by the ICA Cannabis Awards. Fast shipping & premium genetics.,Zombie Df F,89.2,Premium,,Hybrid,,4.92 ft,,,
North Atlantic Seed Company,https://www.northatlanticseed.com/product/zoap-f-2/,"['structured', 'description', 'patterns', 'fallback']",2026-01-09T23:58:11.970562,Feminized,Photoperiod,the many breeders we work with,,60 - 70 days,"Indoors: 500 â€“ 550 gr/m2;
Outdoors: 500 â€“ 550 gr/plant","Caryophyllene, Myrcene, Terpineol, Linalool, Humelene, Eucalyptol",Pick and Mix,Buy Zoap (F) online from North Atlantic Seed Co. Voted #1 by the ICA Cannabis Awards. Fast shipping & premium genetics.,Zoap F 2,95.2,Premium,of an indica and the effects of a sativa,Hybrid,,4.92 ft,,24%,
