seed_bank,source_url,extraction_methods_used,scraped_at,seed_type,growth_type,genetics,cannabis_type,flowering_time,yield,terpene_profile,breeder_name,about_info,strain_name,data_completeness_score,quality_tier,effects,strain_type,indica_sativa_cbd,plant_height,height,thc_content,cbd_content
North Atlantic Seed Company,https://www.northatlanticseed.com/product/zoap-f-3/,"['structured', 'description', 'patterns', 'fallback']",2026-01-09T23:58:12.169230,Feminized,Photoperiod,of Pink Guava #16 and Rainbow Sherbet in a balanced ratio (50/50),,65 - 75 days,s up to 600g/mÂ²Â under optimal conditions,"Sweet Citrus, Fruity, Earthy, Floral",Barney's Farm,Buy Zoap (F) online from North Atlantic Seed Co. Voted #1 by the ICA Cannabis Awards. Fast shipping & premium genetics.,Zoap F 3,95.2,Premium,manifest through distinct phases of experience,Hybrid,,"Indoor: 120 cm
Outdoor: 200 cm","s of 120cm, producing substantial yields up to 600g/mÂ²Â under optimal conditions",,
North Atlantic Seed Company,https://www.northatlanticseed.com/product/zoap-f/,"['structured', 'description', 'patterns', 'fallback']",2026-01-09T23:58:12.358839,Feminized,Photoperiod,between Rainbow Sherbet x Pink Guava,"Feminized Photoperiod, Hybrid Feminized, Hybrid Photoperiod",56 - 70 days,Medium,"Caryophyllene, Limonene, Linalool",Blimburn Seeds,Buy Zoap (F) online from North Atlantic Seed Co. Voted #1 by the ICA Cannabis Awards. Fast shipping & premium genetics.,Zoap F,92.8,Premium,ZoapÂ gives off an amazing terpene profile,Hybrid,,,,.,
North Atlantic Seed Company,https://www.northatlanticseed.com/product/zillions-f/,"['structured', 'description', 'patterns', 'fallback']",2026-01-09T23:58:13.404382,Feminized,Photoperiod,Original Z X Lemon Cherry Gelato,,60 - 70 days,s,"Citrus Peel, Berries",Barney's Farm,Buy Zillions (F) online from North Atlantic Seed Co. Voted #1 by the ICA Cannabis Awards. Fast shipping & premium genetics.,Zillions F,88,Premium,"profile makes Zillions ideal for artistic endeavors, social gatherings, and unwinding after a long day",Hybrid,,"Indoor: 100-120cm
Outdoor: 150-180cm",", both indoors and outdoors, so light trimming is required to maintain airflow",.,
North Atlantic Seed Company,https://www.northatlanticseed.com/product/original-z-og-auto/,"['structured', 'description', 'patterns', 'fallback']",2026-01-09T23:58:16.831072,Feminized,Autoflower,Original Z Strain x OG Kush x BF Super Auto #1,,70 - 80 days,of up to 550-650g/mÂ²,"Sweet Tropical Earth, Fruity, Berry, Skunky Lemon",Barney's Farm,Buy Original Z OG Auto online from North Atlantic Seed Co. Voted #1 by the ICA Cannabis Awards. Fast shipping & premium genetics.,Original Z Og,89.2,Premium,s,Hybrid,,Indoors: 80-100cm; Outdoors: 100-130cm,80-100cm,,
North Atlantic Seed Company,https://www.northatlanticseed.com/product/wonder-pie/,"['structured', 'description', 'patterns', 'fallback']",2026-01-09T23:58:20.815910,Feminized,Photoperiod,ing Wedding Cake with a special selection of OG Kush plants,"Feminized Photoperiod, Hybrid Feminized, Hybrid Photoperiod",60 - 70 days,possible from Wonder Pie it is recommended to top and train it whether growingÂ indoorsÂ orÂ outdoors,"Fruity, Fuel, Sweet",Greenhouse Seed Co.,Buy Wonder Pie (F) online from North Atlantic Seed Co. Voted #1 by the ICA Cannabis Awards. Fast shipping & premium genetics.,Wonder Pie,92.8,Premium,and is therefore suitable for both day-time and night-time consumption,Hybrid,,,during the flowering phase,,
North Atlantic Seed Company,https://www.northatlanticseed.com/product/witchers-creek-auto/,"['structured', 'description', 'patterns', 'fallback']",2026-01-09T23:58:21.368942,Feminized,Autoflower,was Bobby's Swirled ( Crinkled Cookies x Bobby's Widow),"Hybrid Autoflower, Feminized Autoflower",,,,Gnome Automatics,Buy Witcherâ€™s Creek Auto online from North Atlantic Seed Co. Voted #1 by the ICA Cannabis Awards. Fast shipping & premium genetics.,Witchers Creek,62.7,High,,Hybrid,,,,,
North Atlantic Seed Company,https://www.northatlanticseed.com/product/wild-flower-f/,"['structured', 'description', 'patterns', 'fallback']",2026-01-09T23:58:21.784053,Feminized,Photoperiod,Midori Sour x Lazer Wolf,,56 - 70 days,,,Ziplock Seeds,Buy Wild Flower (F) online from North Atlantic Seed Co. Voted #1 by the ICA Cannabis Awards. Fast shipping & premium genetics.,Wild Flower F,74.7,High,,Hybrid,,Medium,,,
North Atlantic Seed Company,https://www.northatlanticseed.com/product/wild-fire-f-limited/,"['structured', 'description', 'patterns', 'fallback']",2026-01-09T23:58:21.962685,Feminized,Photoperiod,"> WILD FIRE (33RD DEGREE x SLURRICANE #23)

Lineage: 33rd degree Ã— Slurricane #23

Flowering Time: 65â€“70 days

Stretch: Strong

Height: Tall

Yield: Mediumâ€“High

Grow Tips: Requires topping and support; strong OG aroma",,,"Mediumâ€“High

Grow Tips: Requires topping and support; strong OG aroma",,In House Genetics,Buy Wild Fire (F) [LIMITED] online from North Atlantic Seed Co. Voted #1 by the ICA Cannabis Awards. Fast shipping & premium genetics.,Wild Fire F Limited,72.3,High,s,Hybrid,,Tall,"Tall

Yield: Mediumâ€“High

Grow Tips: Requires topping and support; strong OG aroma",,
North Atlantic Seed Company,https://www.northatlanticseed.com/product/new-wifi-og-f/,"['structured', 'description', 'patterns', 'fallback']",2026-01-09T23:58:22.175600,Feminized,Photoperiod,ing Fire OG x The White,"Feminized Photoperiod, Hybrid Feminized, Hybrid Photoperiod",56 - 70 days,"Indoor; 1.64 â€“ 2.16 oz/ftÂ², 500 â€“ 660 gr/mÂ²; Outdoor; 21 â€“ 28 oz/plant, 600 â€“ 800 gr/plant","Alpha Cedrene, Alpha-Pinene, Alpha-Terpineol, Borneol, Camphene, Citral, Delta-limonene, Eugenol, Fenchol, Linalool, Nerolidol, Orange Terpenes, Phytol, Terpinolene",Blimburn Seeds,Buy Wifi OG (F) online from North Atlantic Seed Co. Voted #1 by the ICA Cannabis Awards. Fast shipping & premium genetics.,New Wifi Og F,100,Premium,Wifi OG Hybrid gives off an amazing terpene profile,Hybrid,,"3.94 ft, 1.2 m",,,
North Atlantic Seed Company,https://www.northatlanticseed.com/product/white-widow-auto-6/,"['structured', 'description', 'patterns', 'fallback']",2026-01-09T23:58:23.941286,Feminized,Autoflower,White Widow x White Widow,,65 - 75 days,Above Average,"Cake, Cookie, Candy",Atlas Seed,Buy White Widow Auto [SPRING 2025 DROP] online from North Atlantic Seed Co. Voted #1 by the ICA Cannabis Awards. Fast shipping & premium genetics.,White Widow Auto 6,81.9,Premium,,Hybrid,,,,,
North Atlantic Seed Company,https://www.northatlanticseed.com/product/white-widow-f-2/,"['structured', 'description', 'patterns', 'fallback']",2026-01-09T23:58:24.762742,Feminized,Photoperiod,in a next-gen experience that you wonâ€™t soon forget,"Feminized Photoperiod, Hybrid Feminized, Hybrid Photoperiod",56 - 70 days,"s And Manageable Growth
OurÂ White WidowÂ feminized grows to about 1m tall indoors, reaching up to 2m outside","Myrcene, Pinene, and Caryophyllene",Royal Queen Seeds,Buy White Widow (F) online from North Atlantic Seed Co. Voted #1 by the ICA Cannabis Awards. Fast shipping & premium genetics.,White Widow F 2,100,Premium,"from smokingÂ White Widow are consistent with that of the best sativa-dominant plants, offering users a stellar, almost psychedelic high",Hybrid,50% Indica / 50% Sativa,Indoor: 60 - 100 cm; Outdoor: 150 - 190 cm,,,
North Atlantic Seed Company,https://www.northatlanticseed.com/product/white-widow-f-3/,"['structured', 'description', 'patterns', 'fallback']",2026-01-09T23:58:25.812417,Feminized,Photoperiod,"> WHITE WIDOW (BRAZILIAN SATIVA LANDRACE X SOUTH INDIAN INDICA)

Most consumers seek the uplifting, rejuvenating impact",,55 - 65 days,s,"Myrcene, Caryophyllene, Humulene, Alpha-pinene",DNA Genetics,Buy White Widow (F) online from North Atlantic Seed Co. Voted #1 by the ICA Cannabis Awards. Fast shipping & premium genetics.,White Widow F 3,81.9,Premium,,Hybrid,,3 Feet Tall,,.,
North Atlantic Seed Company,https://www.northatlanticseed.com/product/wasabi-lemonade-f-ships-mid-september/,"['structured', 'description', 'patterns', 'fallback']",2026-01-09T23:58:34.258427,Feminized,Photoperiod,"Lemon Tree x Blue Zushi
Type: Hybrid
Seed Type:Â Feminized
Flowering: 8-9 weeks
Yield: High
Characteristics: A zesty blast of sour lemon peel, creamy Z funk, and a nose-tingling edge of gas â€” just like the name suggests",,8-9 weeks,"High
Characteristics: A zesty blast of sour lemon peel, creamy Z funk, and a nose-tingling edge of gas â€” just like the name suggests","Bold Citrus, Sweet, Fruity Undertones with a Gassy Backend",Elev8 Seeds,Buy Wasabi Lemonade (F) online from North Atlantic Seed Co. Voted #1 by the ICA Cannabis Awards. Fast shipping & premium genetics.,Wasabi Lemonade F Ships Mid September,88,Premium,"Wasabi Lemonade provides a well-rounded high: joyful and uplifting at first, melting into a relaxed, calm body buzz",Hybrid,,,,,
North Atlantic Seed Company,https://www.northatlanticseed.com/product/new-violeta-r/,"['structured', 'description', 'patterns', 'fallback']",2026-01-09T23:58:35.306422,Regular,Photoperiod,"ing 2 purple strains: the mother is the Purple Malawi, a very special expression of purple african sativa, that was pollinated by the best and most colorful Pakistan Chitral Kush indica parental plants","Hybrid Photoperiod, Hybrid Regular M/F Photoperiod, Regular M/F Photoperiod",55 - 65 days,Average - High,Balsamic and fruity,Ace Seeds,Buy Violeta (R) online from North Atlantic Seed Co. Voted #1 by the ICA Cannabis Awards. Fast shipping & premium genetics.,New Violeta R,92.8,Premium,makes her a favorite choice for all kind of growers and gardens,Hybrid,60% Indica / 40% Sativa,,,,
North Atlantic Seed Company,https://www.northatlanticseed.com/product/new-violeta-f/,"['structured', 'description', 'patterns', 'fallback']",2026-01-09T23:58:35.503384,Feminized,Photoperiod,"ing 2 purple strains: the mother is the Purple Malawi, a very special expression of purple african sativa, that was pollinated by the best and more colorful Pakistan Chitral Kush indica parental plants","Feminized Photoperiod, Hybrid Feminized, Hybrid Photoperiod","55 - 65 days, Outdoor: Late September to Early October",,"Balsamic, Forest Fruits",Ace Seeds,Buy Violeta (F) online from North Atlantic Seed Co. Voted #1 by the ICA Cannabis Awards. Fast shipping & premium genetics.,New Violeta F,85.5,Premium,makes her a favourite choice for all kind of growers and gardens,Hybrid,60% Indica / 40% Sativa,,,,
North Atlantic Seed Company,https://www.northatlanticseed.com/product/vegas-snow-auto/,"['structured', 'description', 'patterns', 'fallback']",2026-01-09T23:58:36.704177,Feminized,Autoflower,"of the immensely resinous Tyrone Stomper F7 and the heavy hitting Blue Power Auto F3, resulting in a cultivar thatâ€™s has incredible flavor, effects, and bag appeal",,70 - 80 days,2 - 4 ounces average,Sweet berry-gas,Night Owl Seeds,Buy Vegas Snow Auto online from North Atlantic Seed Co. Voted #1 by the ICA Cannabis Awards. Fast shipping & premium genetics.,Vegas Snow,88,Premium,", and bag appeal",Hybrid,,,,,
North Atlantic Seed Company,https://www.northatlanticseed.com/product/illuminauto-69-vaders-musk-f/,"['structured', 'description', 'patterns', 'fallback']",2026-01-09T23:58:39.238945,Feminized,Autoflower,"> ILLUMINAUTO #69 VADER'S MUSK (LIVERS BX1 X GRAPE WALKER KUSH)

Â 

Feminized Autoflowering",,,,,Mephisto Genetics Autos,Buy Illuminauto #69 Vaderâ€™s Musk Auto online from North Atlantic Seed Co. Voted #1 by the ICA Cannabis Awards. Fast shipping & premium genetics.,Illuminauto 69 Vaders Musk F,57.8,Medium,,Hybrid,,,,,
North Atlantic Seed Company,https://www.northatlanticseed.com/product/new-vacation-bubba-auto/,"['structured', 'description', 'patterns', 'fallback']",2026-01-09T23:58:39.413373,Feminized,Autoflower,"the board are a lovely hybrid, aiding in mental stimulation, clarity, and focus while providing a sense of physical soothing without weighing you down","Hybrid Autoflower, Feminized Autoflower",75 - 85 days from sprout,s of top shelf herb,,Night Owl Seeds,Buy Vacation Bubba Auto online from North Atlantic Seed Co. Voted #1 by the ICA Cannabis Awards. Fast shipping & premium genetics.,New Vacation Bubba,85.5,Premium,"across the board are a lovely hybrid, aiding in mental stimulation, clarity, and focus while providing a sense of physical soothing without weighing you down",Hybrid,50% Indica / 50% Sativa,,,,
North Atlantic Seed Company,https://www.northatlanticseed.com/product/u-f-o-g-f/,"['structured', 'description', 'patterns', 'fallback']",2026-01-09T23:58:42.309198,Feminized,Photoperiod,Alien O.G x star killer x skywalker kush,"Feminized Photoperiod, Hybrid Feminized, Hybrid Photoperiod",65 - 75 days,500-550gr/m2 indoor / 550-700 gr/ plant outdoor,Alpha Cedrene / Alpha Terpineol / Borneol / Camphene / Citral / D-Limonene / Eugenol / Fenchol / Linalool / Nerolidol / Orange Terpenes / Phytol / Terpinolene / Alpha Pinene / Beta Caryophyllene / Cadinene / Eugenol / Farnesene / Humulene / Myrcene,Supernatural Seeds,Buy U.F.O.G (F) online from North Atlantic Seed Co. Voted #1 by the ICA Cannabis Awards. Fast shipping & premium genetics.,U F O G F,92.8,Premium,", you'll experience a powerful, euphoric, and relaxed sensation like never before",Hybrid,,,,,
North Atlantic Seed Company,https://www.northatlanticseed.com/product/turtle-taffy-auto/,"['structured', 'description', 'patterns', 'fallback']",2026-01-09T23:58:42.718155,Feminized,Autoflower,"ed with our master donor auto cotton candy, sugary diesel funk terps",,75 - 85 days,Average,"Î²-Caryophyllene, Î²-Myrcene, Î²-Pinene, Î±-Humulene, D-Limonene, Linalool, Î±-Pinene",Atlas Seed,Buy Turtle Taffy Auto online from North Atlantic Seed Co. Voted #1 by the ICA Cannabis Awards. Fast shipping & premium genetics.,Turtle Taffy,81.9,Premium,,Hybrid,,,,,
North Atlantic Seed Company,https://www.northatlanticseed.com/product/tsunami-f-limited/,"['structured', 'description', 'patterns', 'fallback']",2026-01-09T23:58:43.094404,Feminized,Photoperiod,> TSUNAMI (SLURRICANE #2 x SLURRICANE #23) Lineage: Slurricane #2 x slurricane #23 Flowering Time: 65â€“70 days Stretch: Strong Height: Tall Yield: Mediumâ€“High Grow Tips: Tall structure benefits from topping and canopy management,,,Mediumâ€“High Grow Tips: Tall structure benefits from topping and canopy management,,In House Genetics,Buy Tsunami (F) [LIMITED] online from North Atlantic Seed Co. Voted #1 by the ICA Cannabis Awards. Fast shipping & premium genetics.,Tsunami F Limited,72.3,High,s,Hybrid,,Tall,Tall Yield: Mediumâ€“High Grow Tips: Tall structure benefits from topping and canopy management,,
North Atlantic Seed Company,https://www.northatlanticseed.com/product/truffle-butter-fem/,"['structured', 'description', 'patterns', 'fallback']",2026-01-09T23:58:43.696755,Feminized,Photoperiod,,"Feminized Photoperiod, Hybrid Feminized, Hybrid Photoperiod",50 - 60 days,,,Purple Caper Seeds,Buy Truffle Butter (F) online from North Atlantic Seed Co. Voted #1 by the ICA Cannabis Awards. Fast shipping & premium genetics.,Truffle Butter Fem,62.7,High,,Hybrid,,,,,
North Atlantic Seed Company,https://www.northatlanticseed.com/product/tropicalicious/,"['structured', 'description', 'patterns', 'fallback']",2026-01-09T23:58:47.149774,Feminized,Photoperiod,between Tropicana Cookies and the mysterious Project 4516,"Feminized Photoperiod, Hybrid Feminized, Hybrid Photoperiod",55 - 65 days,er,,Elev8 Seeds,Buy Tropicalicious (F) online from North Atlantic Seed Co. Voted #1 by the ICA Cannabis Awards. Fast shipping & premium genetics.,Tropicalicious,72.3,High,,Hybrid,,,,,
North Atlantic Seed Company,https://www.northatlanticseed.com/product/trainwreck-auto/,"['structured', 'description', 'patterns', 'fallback']",2026-01-09T23:58:51.722577,Feminized,Autoflower,the many breeders we work with,,60 - 70 days from sprout,when it is fed with all the hours of sunshine outdoors,"Alpha Pinene, Beta Caryophyllene, Beta Pinene, Myrcene",Pick and Mix,Buy Trainwreck Auto online from North Atlantic Seed Co. Voted #1 by the ICA Cannabis Awards. Fast shipping & premium genetics.,Trainwreck,95.2,Premium,while a balanced experience enjoying the effects of an indica and the effects of a sativa,Hybrid,,4.92 ft,,,
North Atlantic Seed Company,https://www.northatlanticseed.com/product/original-trainwreck-auto/,"['structured', 'description', 'patterns', 'fallback']",2026-01-09T23:58:51.973252,Feminized,Autoflower,Trainwreck Auto,,63 days,ing 550gr/m2 without needing much maintenance or extra effort,"Sweet Lemon, Pine, Peppery",Fast Buds,Buy Original Trainwreck Auto online from North Atlantic Seed Co. Voted #1 by the ICA Cannabis Awards. Fast shipping & premium genetics.,Original Trainwreck,95.2,Premium,that may not seem too potent at first but slowly creeps up on you and get you high as a kite for hours,Hybrid,,27 â€“ 47 inches,,,
North Atlantic Seed Company,https://www.northatlanticseed.com/product/trainwreck/,"['structured', 'description', 'patterns', 'fallback']",2026-01-09T23:58:53.007295,Feminized,Photoperiod,"Original clone from Arcata, CA. Reversed 100% feminized","Feminized Photoperiod, Hybrid Feminized, Hybrid Photoperiod",50 - 60 days,s,,Greenhouse Seed Co.,Buy Trainwreck (F) online from North Atlantic Seed Co. Voted #1 by the ICA Cannabis Awards. Fast shipping & premium genetics.,Trainwreck,78.3,High,"is very stimulating and creative at first but this quite quickly evolves into a heavy, powerful stone that is intense and long-lasting",Hybrid,,,,,
North Atlantic Seed Company,https://www.northatlanticseed.com/product/top-gun-auto/,"['structured', 'description', 'patterns', 'fallback']",2026-01-09T23:58:53.847498,Feminized,Autoflower,"of our master donor for mold resistance and our quick finishing auto Cotton Candy, Top Gun is an auto that finishes so fast it will help you outmaneuver botrytis and volatile markets",,60 - 70 days,s,Myrcene 10.816 mg/g Limonene 2.267 mg/g Î²-Caryophyllene 2.247 mg/g,Atlas Seed,Buy Top Gun Auto online from North Atlantic Seed Co. Voted #1 by the ICA Cannabis Awards. Fast shipping & premium genetics.,Top Gun,74.7,High,,Hybrid,,,,,
North Atlantic Seed Company,https://www.northatlanticseed.com/product/tiki-royal-gelato-f/,"['structured', 'description', 'patterns', 'fallback']",2026-01-09T23:58:56.302775,Feminized,Photoperiod,Gelato 33 x Gelato 41 Bx,,55 - 65 days,Massive,,Tiki Madman,Buy Tiki Royal Gelato (F) online from North Atlantic Seed Co. Voted #1 by the ICA Cannabis Awards. Fast shipping & premium genetics.,Tiki Royal Gelato F,74.7,High,,Hybrid,,,,,
North Atlantic Seed Company,https://www.northatlanticseed.com/product/the-rapture-r/,"['structured', 'description', 'patterns', 'fallback']",2026-01-09T23:58:59.584587,Regular,Photoperiod,"Death Star Ã— Jesus OG

Flowering Time: 9 Weeks

Indica/Sativa: Hybrid (Balanced Sativa-Leaning)

Height: Mediumâ€“Tall",,63 days,"Dense, trichome-soaked buds with a loud, complex aroma

Taste: Diesel â€¢ Citrus â€¢ Spicy Earth

Best Way to Grow: Thrives with topping and super-cropping to control vertical growth and enhance lateral branching","Loud, Skunky gas, Spiced Earth, Funky Citrus Twist",Subcool Seeds,Buy The Rapture (R) online from North Atlantic Seed Co. Voted #1 by the ICA Cannabis Awards. Fast shipping & premium genetics.,The Rapture R,89.2,Premium,,Hybrid,,Medium-Tall,Mediumâ€“Tall,,
North Atlantic Seed Company,https://www.northatlanticseed.com/product/tangerine-sinmint-r/,"['structured', 'description', 'patterns', 'fallback']",2026-01-09T23:59:06.007312,Regular,Photoperiod,Tangerine Power x SinMint Cookies,"Hybrid Photoperiod, Hybrid Regular M/F Photoperiod, Regular M/F Photoperiod",55 - 65 days,500-700g per square meter,,Sin City Seeds,Buy Tangerine SinMint (R) online from North Atlantic Seed Co. Voted #1 by the ICA Cannabis Awards. Fast shipping & premium genetics.,Tangerine Sinmint R,79.5,High,,Hybrid,40% Indica / 60% Sativa,,,,
North Atlantic Seed Company,https://www.northatlanticseed.com/product/tan-line/,"['structured', 'description', 'patterns', 'fallback']",2026-01-09T23:59:07.911738,Regular,Photoperiod,Sunshine 4 x Titty Sprinkles,"Hybrid Photoperiod, Regular M/F Photoperiod",55 - 65 days,Medium to Heavy,,Secret Society Seed Co.,Buy Tan Line (R) online from North Atlantic Seed Co. Voted #1 by the ICA Cannabis Awards. Fast shipping & premium genetics.,Tan Line,79.5,High,,Hybrid,,,,,
North Atlantic Seed Company,https://www.northatlanticseed.com/product/tahoe-og/,"['structured', 'description', 'patterns', 'fallback']",2026-01-09T23:59:08.525556,Feminized,Photoperiod,"ed her out with the SFV OG IBL, this is our F7 male that is now crossed into and become our male/female regular seeds","Feminized Photoperiod, Hybrid Feminized, Hybrid Photoperiod",60 - 70 days,ing nugs,,The Cali Connection,Buy Tahoe OG Kush (F) online from North Atlantic Seed Co. Voted #1 by the ICA Cannabis Awards. Fast shipping & premium genetics.,Tahoe Og,79.5,High,,Hybrid,,,,,
North Atlantic Seed Company,https://www.northatlanticseed.com/product/supernova-auto/,"['structured', 'description', 'patterns', 'fallback']",2026-01-09T23:59:14.322558,Feminized,Autoflower,Big bud auto x power plant x OG Kush,"Hybrid Autoflower, Feminized Autoflower",55 - 65 days from sprout,"of up to 600 g/mÂ² indoors and 200g per plant outdoors, making it an ideal choice for both novice and experienced growers looking for high yields",,Supernatural Seeds,Buy Supernova Auto online from North Atlantic Seed Co. Voted #1 by the ICA Cannabis Awards. Fast shipping & premium genetics.,Supernova,79.5,High,,Hybrid,80% Indica / 20% Sativa,,,,
North Atlantic Seed Company,https://www.northatlanticseed.com/product/super-lemon-haze-auto/,"['structured', 'description', 'patterns', 'fallback']",2026-01-09T23:59:17.392075,Feminized,Autoflower,enables this high quality strain to be available inÂ automaticÂ form,"Hybrid Autoflower, Hybrid Feminized",50 - 60 days,"s of up to 500 gr/m,sup>2 can be obtained with 18 hours of light per day",Citrus,Greenhouse Seed Co.,Buy Super Lemon Haze Auto online from North Atlantic Seed Co. Voted #1 by the ICA Cannabis Awards. Fast shipping & premium genetics.,Super Lemon Haze,92.8,Premium,"just as its photo-period version does; it hits fast but with a light body-stone and a very clear, cerebral, uplifting high",Hybrid,,,of 80 - 100 cm,,
North Atlantic Seed Company,https://www.northatlanticseed.com/product/super-boof-f/,"['structured', 'description', 'patterns', 'fallback']",2026-01-09T23:59:19.942608,Feminized,Photoperiod,of Black Cherry Punch with Tropicana Cookies in a balanced ratio (50/50),,56 - 70 days,prediction and optimization,"Orange, Tropical Fruits, Sweet",Barney's Farm,Buy Super Boof (F) online from North Atlantic Seed Co. Voted #1 by the ICA Cannabis Awards. Fast shipping & premium genetics.,Super Boof F,95.2,Premium,manifest through three distinct phases of experience,Hybrid,,"Indoor: 100-120 cm
Outdoor: 150-180 cm","s between 100 and 120cm, producing yields up to 500g/mÂ²Â under optimal conditions",,
