bank_name,url,scraped_at,strain_name,genetics,sex,flowering,type,flowering_time,height,area,about_info,breeder_name,height_indoor,thc_content,yield_indoor,height_outdoor,harvest_period
The Attitude Seed Bank,https://www.cannabis-seeds-bank.co.uk/mandala-seeds-kalichakra/prod_731,2026-01-11T00:14:19.139619,Mandala Seeds Kalichakra,South India x S.E. Asia,Regular,Photoperiod,Mostly Sativa,68 days,Medium,"Indoor, Outdoor and Greenhouse","<p><span style=""font-weight: bold; text-decoration: underline;"">Mandala Seeds Kalichakra Cannabis Seeds</span></p>
<p>Mandala Seeds Kalichakra is named after the Indian goddess Kali (a consort of the ganja smoking Lord Shiva) to symbolize the power of this hardy, potent, high-yielding sativa. Unlike typical sativas she develops extremely well indoor with vigorous growth and sturdy stems. This hybrid vigor, and the unique land race traits, make her surprisingly adaptable and easy to grow, and a good choice for novice gardeners. Mother plants provide clones easily and quickly. The cuttings can be placed into flowering early for cultivating shorter plants in trays, grow boxes, etc., or to shorten flowering time. We recommend this strain for SOG as well. In hydroponics rapid growth can be expected.&nbsp;Kalichakra responds well to being tied down and grows an impressively&nbsp;large main cola from the even light distribution. The high calyx-to-leaf ratio and frosty coating of trichomes contribute to the exceptional quality of the ripe flowers. The plants possess on average a good mould and pest resistance thanks to our dedicated breeding goals in minimizing undesirable genetic traits. Up to the 45&deg; latitude Kalichakra delivers bumper yields outdoor and is one of the best strains available for hot and temperate climates. In far northern climates she has also performed well but results depend on plant care, local weather, and phenotype. &nbsp;</p>
Genetics: South India x S.E. Asia<br/>
Type: Mostly Sativa<br/>
Area: Indoor / Outdoor / Greenhouse<br/>
THC: 17 - 19%<br/>
Flowering time: 68 days Indoor / October Outdoor<br/>
Height: medium<br/>
Medical-grade marijuana for a broad spectrum of medical use. Assists against depression and lethargy.<br/>
<div><br/>",,,,,,
The Attitude Seed Bank,https://www.cannabis-seeds-bank.co.uk/dankonomics-genetics-seeds-funkdawg-clusterfunk/prod_4227,2026-01-11T00:14:19.480638,Dankonomics Genetics Seeds Funkdawg Clusterfunk,91 Che x 1988 G13HP x Stardawg,Regular,Photoperiod,Mostly Sativa,56 - 84 days,,"Indoor, Outdoor and Greenhouse",<div><u><strong>Dankonomics Genetics Funkdawg Clusterfunk Regular Marijuana Seeds (Clusterfunk f1 x Star Dawg #5)</strong></u>&nbsp;,,,,,,
The Attitude Seed Bank,https://www.cannabis-seeds-bank.co.uk/snowhigh-seeds-golden-white-grapefruit/prod_2199,2026-01-11T00:14:19.680274,SnowHigh Seeds Golden White Grapefruit,Grapefruit Haze x White Russian x Acapulco Gold x C99,Regular,Photoperiod,Mostly Sativa,Not specified,Medium,,"<p><u><strong>SnowHigh Seeds Golden White Grapefruit <br/>
</strong></u><br/>
(Grapefruit Haze x White Russian x Acapulco Gold x C99 )<br/>
<br/>
Golden White Grapefruit is Grapefruit Haze x White Russian that was pollinated by my Acapulco Gold x C99 male. <br/>
This strain was grown and breed outdoors using only organic soil and water without teas or fertilizers. Expect large plants outdoors with large resin coated flowers.<br/>
<br/>
Sativa Dominant</p>
<p>Area: Indoor / Outdoor<br/>
<br/>
Bloom Length: 10 to 11 weeks of flowering, Finishes October 1st at the 47 Latitude <br/>
# of Phenotypes: 2 main phenotypes so far</p>
<p><br/>
Describe each phenotype expression:<br/>
Sativaboys grow report on the Golden White Grapefruit<br/>
<br/>
Golden White Grapefruit (Snow high seeds)<br/>
grown OD in all organic soil.<br/>
10 to 11 weeks flowering<br/>
ready oct 1 to 10 (47 deg N lat)<br/>
mold resistant,big plants (avg 6 to 7 ft) very branchy.<br/>
very fruity smell early in flower, with a mellower fruitiness when ripe.<br/>
mostly green plants with a slight golden white color on the pistils when finished<br/>
1 to 2 times stretch in flower<br/>
2 phenos with the larger one being more odoriferous, but trichome covering similar in both phenos<br/>
good harvest of slightly airy buds. 11 oz from 2 plants.<br/>
very smooth toking, flavorful buds, the cure brought some of the fruit flavor back, with a little extra dankness added in<br/>
no lung expansion, no coughing. a very active high that's all in the head. great wake and bake weed and not at all overpowering. my fave daytime smoke. this one is another creeper that sneaks up on me. don't get me wrong when i say its not overpowering. this is a seriously potent sativa,its just so smooth that the high comes on slowly and all of a sudden my ears are ringing and i find myself in a very nice place. it has some good legs as well. functional is the best description i can think of.<br/>
<br/>
Stretch: 1 to 2 x</p>
<p>Resin Profile: High resin</p>
<p>Odor Score:3 <br/>
Odor Description: Fruity Grapefruit <br/>
Flavor Score: 7 <br/>
Flavor Description: Smooth Fruity Grapefruit <br/>
Potency Score: 7 <br/>
High Type: Great Day Time Smoke, Stimulating, Euphoric</p>
<p><br/>
</p>
                                <p class=""prodDisc"">
                                    Please Note: This content is for informational and educational use only. The Attitude Seed bank sells all seeds strictly for souvenir purposes or for
                                    storage and preservation of genetics in case the laws may change. We do not condone or encourage the germination of cannabis seeds and we will refuse
                                    a sale to anyone who leads us to believe they intend to use our products in an unlawful way.
                                    <br />
                                    WARNING: IT IS A CRIMINAL OFFENCE TO GERMINATE CANNABIS SEEDS IN THE UK AND MANY OTHER COUNTRIES.
                                </p>",,,,,,
The Attitude Seed Bank,https://www.cannabis-seeds-bank.co.uk/t-h-seeds-orangesicle/prod_7027,2026-01-11T00:14:19.902493,T H Seeds Orangesicle,Purple Tangie x French Cookies,Feminized,Photoperiod,Mostly Sativa,56 - 63 days,,Indoor &amp; Outdoor,"<div><span style=""font-weight: bold; text-decoration-line: underline;"">Orangesicle Cannabis Seeds by T H Seeds</span>",T,,,,,
The Attitude Seed Bank,https://www.cannabis-seeds-bank.co.uk/exotic-genetix-seeds-runtz-limited-lineup-knockout-runtz/prod_7038,2026-01-11T00:14:20.135410,Exotic Genetix Seeds Runtz Limited Lineup Knockout Runtz,Kimbo Kush x Runtz,Feminized,Photoperiod,Mostly Indica,50 - 60 days,Medium,Indoor &amp; Outdoor,"<div><span style=""font-weight: bold; text-decoration-line: underline;"">Knockout Runtz Cannabis Seeds by Exotic Genetix Seeds</span>",Exotic,,,,,
The Attitude Seed Bank,https://www.cannabis-seeds-bank.co.uk/night-owl-seeds-dog-whistle-sos-auto/prod_9481,2026-01-11T00:14:20.303370,Night Owl Seeds Dog Whistle SOS AUTO,Chem 91 Auto F4 x Whistlinâ€™ Diesel F3,Feminized,Autoflowering,Mostly Sativa,75 - 85 days,,Indoor &amp; Outdoor,"<div>
<div>
<div>
<div><span style=""font-weight: 700; text-decoration-line: underline;"">Dog Whistle SOS AUTO Cannabis Seeds by Night Owl Seeds</span>",Night,,,,,
The Attitude Seed Bank,https://www.cannabis-seeds-bank.co.uk/garden-of-green-seeds-northern-lights/prod_3816,2026-01-11T00:14:20.467275,Garden of Green Seeds Northern Lights,Northern Lights,Feminized,Photoperiod,Mostly Indica,55 days,Medium,,<div><u><strong>Northern Lights Female Cannabis Seeds - Garden Of Green Seed Bank</strong></u>,,,,,,
The Attitude Seed Bank,https://www.cannabis-seeds-bank.co.uk/humboldt-seed-organization-trainwreck/prod_1906,2026-01-11T00:14:20.655420,Humboldt Seed Organization Trainwreck,,Feminized,Photoperiod,Mostly Sativa,58 - 63 days,Medium to Tall,Indoor &amp; Outdoor,<div><u><strong>Humbooldt Seed Organization Trainwreck Feminized Cannabis Seeds&nbsp;</strong></u>,,,,,,
The Attitude Seed Bank,https://www.cannabis-seeds-bank.co.uk/mr-nice-seeds-pink-floyd/prod_790,2026-01-11T00:14:20.818165,Mr Nice Seeds Pink Floyd,Critical Mass x Haze,Regular,Photoperiod,Indica/Sativa,70 - 84 days,,"Indoor, Outdoor and Greenhouse","<p><span style=""font-weight: bold; text-decoration: underline;"">Mr. Nice Pink Floyd Cannabis Seeds&nbsp;</span></p>
<p>Mr Nice Seeds Pink Floyd is a fruity, delicious strain. This combination has already brought special grows for many. Fruity Haze with a plethora of aromas available, it is like a smorgasbord of fruits and berries and piney lemons spice...There is a yielder in this combination to boot! So it makes it something special to do and stash away for rainy days.&nbsp;</p>
<div>Genetics:<span class=""Apple-tab-span"" style=""white-space:pre""></span>CM x HzAC",,,,,,
The Attitude Seed Bank,https://www.cannabis-seeds-bank.co.uk/tga-mz-jill-genetics-mendo-jilly/prod_7646,2026-01-11T00:14:20.988346,TGA Mz Jill Genetics Mendo Jilly,Mendo Purps x Jilly Bean,Feminized,Photoperiod,,Not specified,,,"<span style=""font-weight: bold; text-decoration-line: underline;"">Mendo Jilly Cannabis Seeds by </span><span style=""font-size: 12px; font-weight: 700; text-decoration-line: underline;"">TGA&nbsp;</span><span style=""font-weight: bold; text-decoration-line: underline;"">Mz Jill Genetics&nbsp;</span>
<div><span style=""font-weight: bold; text-decoration-line: underline;""><br/>
</span>",</span><span,,,,,
The Attitude Seed Bank,https://www.cannabis-seeds-bank.co.uk/lit-farms-seeds-lemon-zoap/prod_9162,2026-01-11T00:14:21.141002,LIT Farms Seeds Lemon Zoap,(Lemonchello #28 x Jealousy) x Zoap,Feminized,Photoperiod,,56 - 63 days,,Indoor &amp; Outdoor,"<div><span style=""font-size: medium; font-weight: 700; text-decoration-line: underline;"">Lemon Zoap Cannabis Seeds by LIT Farms Seeds</span>",LIT,,,,,
The Attitude Seed Bank,https://www.cannabis-seeds-bank.co.uk/dankonomics-genetics-seeds-al-capone-og/prod_5179,2026-01-11T00:14:21.334738,Dankonomics Genetics Seeds Al Capone OG,Ghost OG aka 92 Florida OG Kush x Stardawg #2,Regular,56 - 70 days,Mostly Indica,56 - 70 days,,Indoor &amp; Outdoor,<div><u><strong>Al Capone OG Marijuana Seeds - Dankonomics Genetics</strong></u>,,,,,,
The Attitude Seed Bank,https://www.cannabis-seeds-bank.co.uk/dr-underground-seeds-king-kong/prod_1696,2026-01-11T00:14:21.484387,Dr. Underground Seeds King Kong,Ed Rosenthal Super Bud x Chronic,Feminized,Photoperiod,Indica/Sativa,49 - 56 days,,Indoor &amp; Outdoor,"<p><span style=""font-weight: bold;""><u>Dr Underground - King Kong Seeds Feminized Cannabis Seeds<br/>
</u></span></p>
<p><!--[if gte mso 9]><xml>
<w:WordDocument>
<w:View>Normal</w:View>
<w:Zoom>0</w:Zoom>
<w:TrackMoves />
<w:TrackFormatting />
<w:PunctuationKerning />
<w:ValidateAgainstSchemas />
<w:SaveIfXMLInvalid>false</w:SaveIfXMLInvalid>
<w:IgnoreMixedContent>false</w:IgnoreMixedContent>
<w:AlwaysShowPlaceholderText>false</w:AlwaysShowPlaceholderText>
<w:DoNotPromoteQF />
<w:LidThemeOther>EN-GB</w:LidThemeOther>
<w:LidThemeAsian>X-NONE</w:LidThemeAsian>
<w:LidThemeComplexScript>X-NONE</w:LidThemeComplexScript>
<w:Compatibility>
<w:BreakWrappedTables />
<w:SnapToGridInCell />
<w:WrapTextWithPunct />
<w:UseAsianBreakRules />
<w:DontGrowAutofit />
<w:SplitPgBreakAndParaMark />
<w:EnableOpenTypeKerning />
<w:DontFlipMirrorIndents />
<w:OverrideTableStyleHps />
</w:Compatibility>
<m:mathPr>
<m:mathFont m:val=""Cambria Math"" />
<m:brkBin m:val=""before"" />
<m:brkBinSub m:val=""&#45;-"" />
<m:smallFrac m:val=""off"" />
<m:dispDef />
<m:lMargin m:val=""0"" />
<m:rMargin m:val=""0"" />
<m:defJc m:val=""centerGroup"" />
<m:wrapIndent m:val=""1440"" />
<m:intLim m:val=""subSup"" />
<m:naryLim m:val=""undOvr"" />
</m:mathPr></w:WordDocument>
</xml><![endif]--><!--[if gte mso 9]><xml>
<w:LatentStyles DefLockedState=""false"" DefUnhideWhenUsed=""false""
DefSemiHidden=""false"" DefQFormat=""false"" DefPriority=""99""
LatentStyleCount=""371"">
<w:LsdException Locked=""false"" Priority=""0"" QFormat=""true"" Name=""Normal"" />
<w:LsdException Locked=""false"" Priority=""9"" QFormat=""true"" Name=""heading 1"" />
<w:LsdException Locked=""false"" Priority=""9"" SemiHidden=""true""
UnhideWhenUsed=""true"" QFormat=""true"" Name=""heading 2"" />
<w:LsdException Locked=""false"" Priority=""9"" SemiHidden=""true""
UnhideWhenUsed=""true"" QFormat=""true"" Name=""heading 3"" />
<w:LsdException Locked=""false"" Priority=""9"" SemiHidden=""true""
UnhideWhenUsed=""true"" QFormat=""true"" Name=""heading 4"" />
<w:LsdException Locked=""false"" Priority=""9"" SemiHidden=""true""
UnhideWhenUsed=""true"" QFormat=""true"" Name=""heading 5"" />
<w:LsdException Locked=""false"" Priority=""9"" SemiHidden=""true""
UnhideWhenUsed=""true"" QFormat=""true"" Name=""heading 6"" />
<w:LsdException Locked=""false"" Priority=""9"" SemiHidden=""true""
UnhideWhenUsed=""true"" QFormat=""true"" Name=""heading 7"" />
<w:LsdException Locked=""false"" Priority=""9"" SemiHidden=""true""
UnhideWhenUsed=""true"" QFormat=""true"" Name=""heading 8"" />
<w:LsdException Locked=""false"" Priority=""9"" SemiHidden=""true""
UnhideWhenUsed=""true"" QFormat=""true"" Name=""heading 9"" />
<w:LsdException Locked=""false"" SemiHidden=""true"" UnhideWhenUsed=""true""
Name=""index 1"" />
<w:LsdException Locked=""false"" SemiHidden=""true"" UnhideWhenUsed=""true""
Name=""index 2"" />
<w:LsdException Locked=""false"" SemiHidden=""true"" UnhideWhenUsed=""true""
Name=""index 3"" />
<w:LsdException Locked=""false"" SemiHidden=""true"" UnhideWhenUsed=""true""
Name=""index 4"" />
<w:LsdException Locked=""false"" SemiHidden=""true"" UnhideWhenUsed=""true""
Name=""index 5"" />
<w:LsdException Locked=""false"" SemiHidden=""true"" UnhideWhenUsed=""true""
Name=""index 6"" />
<w:LsdException Locked=""false"" SemiHidden=""true"" UnhideWhenUsed=""true""
Name=""index 7"" />
<w:LsdException Locked=""false"" SemiHidden=""true"" UnhideWhenUsed=""true""
Name=""index 8"" />
<w:LsdException Locked=""false"" SemiHidden=""true"" UnhideWhenUsed=""true""
Name=""index 9"" />
<w:LsdException Locked=""false"" Priority=""39"" SemiHidden=""true""
UnhideWhenUsed=""true"" Name=""toc 1"" />
<w:LsdException Locked=""false"" Priority=""39"" SemiHidden=""true""
UnhideWhenUsed=""true"" Name=""toc 2"" />
<w:LsdException Locked=""false"" Priority=""39"" SemiHidden=""true""
UnhideWhenUsed=""true"" Name=""toc 3"" />
<w:LsdException Locked=""false"" Priority=""39"" SemiHidden=""true""
UnhideWhenUsed=""true"" Name=""toc 4"" />
<w:LsdException Locked=""false"" Priority=""39"" SemiHidden=""true""
UnhideWhenUsed=""true"" Name=""toc 5"" />
<w:LsdException Locked=""false"" Priority=""39"" SemiHidden=""true""
UnhideWhenUsed=""true"" Name=""toc 6"" />
<w:LsdException Locked=""false"" Priority=""39"" SemiHidden=""true""
UnhideWhenUsed=""true"" Name=""toc 7"" />
<w:LsdException Locked=""false"" Priority=""39"" SemiHidden=""true""
UnhideWhenUsed=""true"" Name=""toc 8"" />
<w:LsdException Locked=""false"" Priority=""39"" SemiHidden=""true""
UnhideWhenUsed=""true"" Name=""toc 9"" />
<w:LsdException Locked=""false"" SemiHidden=""true"" UnhideWhenUsed=""true""
Name=""Normal Indent"" />
<w:LsdException Locked=""false"" SemiHidden=""true"" UnhideWhenUsed=""true""
Name=""footnote text"" />
<w:LsdException Locked=""false"" SemiHidden=""true"" UnhideWhenUsed=""true""
Name=""annotation text"" />
<w:LsdException Locked=""false"" SemiHidden=""true"" UnhideWhenUsed=""true""
Name=""header"" />
<w:LsdException Locked=""false"" SemiHidden=""true"" UnhideWhenUsed=""true""
Name=""footer"" />
<w:LsdException Locked=""false"" SemiHidden=""true"" UnhideWhenUsed=""true""
Name=""index heading"" />
<w:LsdException Locked=""false"" Priority=""35"" SemiHidden=""true""
UnhideWhenUsed=""true"" QFormat=""true"" Name=""caption"" />
<w:LsdException Locked=""false"" SemiHidden=""true"" UnhideWhenUsed=""true""
Name=""table of figures"" />
<w:LsdException Locked=""false"" SemiHidden=""true"" UnhideWhenUsed=""true""
Name=""envelope address"" />
<w:LsdException Locked=""false"" SemiHidden=""true"" UnhideWhenUsed=""true""
Name=""envelope return"" />
<w:LsdException Locked=""false"" SemiHidden=""true"" UnhideWhenUsed=""true""
Name=""footnote reference"" />
<w:LsdException Locked=""false"" SemiHidden=""true"" UnhideWhenUsed=""true""
Name=""annotation reference"" />
<w:LsdException Locked=""false"" SemiHidden=""true"" UnhideWhenUsed=""true""
Name=""line number"" />
<w:LsdException Locked=""false"" SemiHidden=""true"" UnhideWhenUsed=""true""
Name=""page number"" />
<w:LsdException Locked=""false"" SemiHidden=""true"" UnhideWhenUsed=""true""
Name=""endnote reference"" />
<w:LsdException Locked=""false"" SemiHidden=""true"" UnhideWhenUsed=""true""
Name=""endnote text"" />
<w:LsdException Locked=""false"" SemiHidden=""true"" UnhideWhenUsed=""true""
Name=""table of authorities"" />
<w:LsdException Locked=""false"" SemiHidden=""true"" UnhideWhenUsed=""true""
Name=""macro"" />
<w:LsdException Locked=""false"" SemiHidden=""true"" UnhideWhenUsed=""true""
Name=""toa heading"" />
<w:LsdException Locked=""false"" SemiHidden=""true"" UnhideWhenUsed=""true""
Name=""List"" />
<w:LsdException Locked=""false"" SemiHidden=""true"" UnhideWhenUsed=""true""
Name=""List Bullet"" />
<w:LsdException Locked=""false"" SemiHidden=""true"" UnhideWhenUsed=""true""
Name=""List Number"" />
<w:LsdException Locked=""false"" SemiHidden=""true"" UnhideWhenUsed=""true""
Name=""List 2"" />
<w:LsdException Locked=""false"" SemiHidden=""true"" UnhideWhenUsed=""true""
Name=""List 3"" />
<w:LsdException Locked=""false"" SemiHidden=""true"" UnhideWhenUsed=""true""
Name=""List 4"" />
<w:LsdException Locked=""false"" SemiHidden=""true"" UnhideWhenUsed=""true""
Name=""List 5"" />
<w:LsdException Locked=""false"" SemiHidden=""true"" UnhideWhenUsed=""true""
Name=""List Bullet 2"" />
<w:LsdException Locked=""false"" SemiHidden=""true"" UnhideWhenUsed=""true""
Name=""List Bullet 3"" />
<w:LsdException Locked=""false"" SemiHidden=""true"" UnhideWhenUsed=""true""
Name=""List Bullet 4"" />
<w:LsdException Locked=""false"" SemiHidden=""true"" UnhideWhenUsed=""true""
Name=""List Bullet 5"" />
<w:LsdException Locked=""false"" SemiHidden=""true"" UnhideWhenUsed=""true""
Name=""List Number 2"" />
<w:LsdException Locked=""false"" SemiHidden=""true"" UnhideWhenUsed=""true""
Name=""List Number 3"" />
<w:LsdException Locked=""false"" SemiHidden=""true"" UnhideWhenUsed=""true""
Name=""List Number 4"" />
<w:LsdException Locked=""false"" SemiHidden=""true"" UnhideWhenUsed=""true""
Name=""List Number 5"" />
<w:LsdException Locked=""false"" Priority=""10"" QFormat=""true"" Name=""Title"" />
<w:LsdException Locked=""false"" SemiHidden=""true"" UnhideWhenUsed=""true""
Name=""Closing"" />
<w:LsdException Locked=""false"" SemiHidden=""true"" UnhideWhenUsed=""true""
Name=""Signature"" />
<w:LsdException Locked=""false"" Priority=""1"" SemiHidden=""true""
UnhideWhenUsed=""true"" Name=""Default Paragraph Font"" />
<w:LsdException Locked=""false"" SemiHidden=""true"" UnhideWhenUsed=""true""
Name=""Body Text"" />
<w:LsdException Locked=""false"" SemiHidden=""true"" UnhideWhenUsed=""true""
Name=""Body Text Indent"" />
<w:LsdException Locked=""false"" SemiHidden=""true"" UnhideWhenUsed=""true""
Name=""List Continue"" />
<w:LsdException Locked=""false"" SemiHidden=""true"" UnhideWhenUsed=""true""
Name=""List Continue 2"" />
<w:LsdException Locked=""false"" SemiHidden=""true"" UnhideWhenUsed=""true""
Name=""List Continue 3"" />
<w:LsdException Locked=""false"" SemiHidden=""true"" UnhideWhenUsed=""true""
Name=""List Continue 4"" />
<w:LsdException Locked=""false"" SemiHidden=""true"" UnhideWhenUsed=""true""
Name=""List Continue 5"" />
<w:LsdException Locked=""false"" SemiHidden=""true"" UnhideWhenUsed=""true""
Name=""Message Header"" />
<w:LsdException Locked=""false"" Priority=""11"" QFormat=""true"" Name=""Subtitle"" />
<w:LsdException Locked=""false"" SemiHidden=""true"" UnhideWhenUsed=""true""
Name=""Salutation"" />
<w:LsdException Locked=""false"" SemiHidden=""true"" UnhideWhenUsed=""true""
Name=""Date"" />
<w:LsdException Locked=""false"" SemiHidden=""true"" UnhideWhenUsed=""true""
Name=""Body Text First Indent"" />
<w:LsdException Locked=""false"" SemiHidden=""true"" UnhideWhenUsed=""true""
Name=""Body Text First Indent 2"" />
<w:LsdException Locked=""false"" SemiHidden=""true"" UnhideWhenUsed=""true""
Name=""Note Heading"" />
<w:LsdException Locked=""false"" SemiHidden=""true"" UnhideWhenUsed=""true""
Name=""Body Text 2"" />
<w:LsdException Locked=""false"" SemiHidden=""true"" UnhideWhenUsed=""true""
Name=""Body Text 3"" />
<w:LsdException Locked=""false"" SemiHidden=""true"" UnhideWhenUsed=""true""
Name=""Body Text Indent 2"" />
<w:LsdException Locked=""false"" SemiHidden=""true"" UnhideWhenUsed=""true""
Name=""Body Text Indent 3"" />
<w:LsdException Locked=""false"" SemiHidden=""true"" UnhideWhenUsed=""true""
Name=""Block Text"" />
<w:LsdException Locked=""false"" SemiHidden=""true"" UnhideWhenUsed=""true""
Name=""Hyperlink"" />
<w:LsdException Locked=""false"" SemiHidden=""true"" UnhideWhenUsed=""true""
Name=""FollowedHyperlink"" />
<w:LsdException Locked=""false"" Priority=""22"" QFormat=""true"" Name=""Strong"" />
<w:LsdException Locked=""false"" Priority=""20"" QFormat=""true"" Name=""Emphasis"" />
<w:LsdException Locked=""false"" SemiHidden=""true"" UnhideWhenUsed=""true""
Name=""Document Map"" />
<w:LsdException Locked=""false"" SemiHidden=""true"" UnhideWhenUsed=""true""
Name=""Plain Text"" />
<w:LsdException Locked=""false"" SemiHidden=""true"" UnhideWhenUsed=""true""
Name=""E-mail Signature"" />
<w:LsdException Locked=""false"" SemiHidden=""true"" UnhideWhenUsed=""true""
Name=""HTML Top of Form"" />
<w:LsdException Locked=""false"" SemiHidden=""true"" UnhideWhenUsed=""true""
Name=""HTML Bottom of Form"" />
<w:LsdException Locked=""false"" SemiHidden=""true"" UnhideWhenUsed=""true""
Name=""Normal (Web)"" />
<w:LsdException Locked=""false"" SemiHidden=""true"" UnhideWhenUsed=""true""
Name=""HTML Acronym"" />
<w:LsdException Locked=""false"" SemiHidden=""true"" UnhideWhenUsed=""true""
Name=""HTML Address"" />
<w:LsdException Locked=""false"" SemiHidden=""true"" UnhideWhenUsed=""true""
Name=""HTML Cite"" />
<w:LsdException Locked=""false"" SemiHidden=""true"" UnhideWhenUsed=""true""
Name=""HTML Code"" />
<w:LsdException Locked=""false"" SemiHidden=""true"" UnhideWhenUsed=""true""
Name=""HTML Definition"" />
<w:LsdException Locked=""false"" SemiHidden=""true"" UnhideWhenUsed=""true""
Name=""HTML Keyboard"" />
<w:LsdException Locked=""false"" SemiHidden=""true"" UnhideWhenUsed=""true""
Name=""HTML Preformatted"" />
<w:LsdException Locked=""false"" SemiHidden=""true"" UnhideWhenUsed=""true""
Name=""HTML Sample"" />
<w:LsdException Locked=""false"" SemiHidden=""true"" UnhideWhenUsed=""true""
Name=""HTML Typewriter"" />
<w:LsdException Locked=""false"" SemiHidden=""true"" UnhideWhenUsed=""true""
Name=""HTML Variable"" />
<w:LsdException Locked=""false"" SemiHidden=""true"" UnhideWhenUsed=""true""
Name=""Normal Table"" />
<w:LsdException Locked=""false"" SemiHidden=""true"" UnhideWhenUsed=""true""
Name=""annotation subject"" />
<w:LsdException Locked=""false"" SemiHidden=""true"" UnhideWhenUsed=""true""
Name=""No List"" />
<w:LsdException Locked=""false"" SemiHidden=""true"" UnhideWhenUsed=""true""
Name=""Outline List 1"" />
<w:LsdException Locked=""false"" SemiHidden=""true"" UnhideWhenUsed=""true""
Name=""Outline List 2"" />
<w:LsdException Locked=""false"" SemiHidden=""true"" UnhideWhenUsed=""true""
Name=""Outline List 3"" />
<w:LsdException Locked=""false"" SemiHidden=""true"" UnhideWhenUsed=""true""
Name=""Table Simple 1"" />
<w:LsdException Locked=""false"" SemiHidden=""true"" UnhideWhenUsed=""true""
Name=""Table Simple 2"" />
<w:LsdException Locked=""false"" SemiHidden=""true"" UnhideWhenUsed=""true""
