seed_bank,breeder_name,seed_type,growth_type,source_url,extraction_methods_used,scraped_at,about_info,genetics,strain_name,availability,data_completeness_score,quality_tier,breeding_notes,awards,plant_height,yield,aroma_flavour,effects,medicinal_effect,grow_difficulty,growth_odour,indica_sativa
Mephisto Genetics,Mephisto Genetics,Feminized,Autoflower,https://mephistogenetics.com/products/zo-raven,"['description', 'patterns', 'fallback']",2026-01-10T22:35:54.602453,"Lemon, strawberries, cream, candy and chemicals. A taste sensation in the waiting. Expect a squatter plant with beautiful fades and colours across the spectrum as she comes to the end of flower.","es, we've paired some of the finest strains in the Mephisto catalogue to a hand-selected Do-si-delirium pollen donor",Zo Raven,SoldOut,42.9,Medium,,,,,,,,,,
Mephisto Genetics,Mephisto Genetics,Feminized,Autoflower,https://mephistogenetics.com/products/zinfandel,"['description', 'patterns', 'fallback']",2026-01-10T22:35:55.044837,Introducing our third drop of our new format Limited Editions! Walter White Bx1 isn’t our first backcross; with our Artisanals line we put in the work and take things to a level that not many others do. As with our Livers BX1 project which took 12 generations of breeding to get to the point of release; our Walter White,; with our Artisanals line we put in the work and take things to a level that not many others do,Zinfandel,SoldOut,42.9,Medium,"to get to the point of release; our Walter White BX1 has been a labour of love, beginning the second outcross to our cut of Krome’s ‘The White’ in 2018",,,,,,,,,
Mephisto Genetics,Mephisto Genetics,Feminized,Autoflower,https://mephistogenetics.com/products/willys-gum,"['description', 'patterns', 'fallback']",2026-01-10T22:35:55.439300,"Willy's Gum Old School Mango Haze x HubbaBubbaHaze15/85 Bubblegum, mango and that classic haze goodness. Sweet on the nose and the inhale, she’s more complex than the name might give her credit for. Expect a bigger girl that might take some taming, but the work will be more than worth it in the end.","es we’ve paired our award-winning Old School Mango Haze with some beautiful ladies from across the Mephisto arsenal, each designed to get those taste buds tingling and the head spinning, in the best possible way",Willys Gum,SoldOut,42.9,Medium,,#NAME?,,,,,,,,
Mephisto Genetics,Mephisto Genetics,Feminized,Autoflower,https://mephistogenetics.com/products/white-wedding,"['description', 'patterns', 'fallback']",2026-01-10T22:35:55.973285,"Originally only available as a special freebie strain as part of our third new format Limited Editions, White Wedding is, for the first time, available for purchase! Walter White Bx1 isn’t our first backcross; with our Artisanals line we put in the work and take things to a level that not many others do. As with our Li",; with our Artisanals line we put in the work and take things to a level that not many others do,White Wedding,,40.2,Medium,"to get to the point of release; our Walter White BX1 has been a labour of love, beginning the second outcross to our cut of Krome’s ‘The White’ in 2018",,,,,,,,,
Mephisto Genetics,Mephisto Genetics,Feminized,Autoflower,https://mephistogenetics.com/products/white-raven,"['description', 'patterns', 'fallback']",2026-01-10T22:35:56.949586,Introducing our third drop of our new format Limited Editions! Walter White Bx1 isn’t our first backcross; with our Artisanals line we put in the work and take things to a level that not many others do. As with our Livers BX1 project which took 12 generations of breeding to get to the point of release; our Walter White,; with our Artisanals line we put in the work and take things to a level that not many others do,White Raven,SoldOut,42.9,Medium,"to get to the point of release; our Walter White BX1 has been a labour of love, beginning the second outcross to our cut of Krome’s ‘The White’ in 2018",,,,,,,,,
Mephisto Genetics,Mephisto Genetics,Feminized,Autoflower,https://mephistogenetics.com/products/illuminauto-61-white-creme,"['description', 'patterns', 'fallback']",2026-01-10T22:35:57.570036,Brand new for 2022Illuminauto #61 - White CremeWalter White x Creme de la Chem,,Illuminauto 61 White Creme,SoldOut,36.6,Basic,,,,,,,,,,
Mephisto Genetics,Mephisto Genetics,Feminized,Autoflower,https://mephistogenetics.com/products/white-crack,"['structured', 'description', 'patterns', 'fallback']",2026-01-10T22:35:58.019749,"White Crack was initially just given out as a freebie for European orders during 2016-2017, she recieved such good feedback she was added as a Worldwide Limited Edition in 2018 and now she's back again, this time with our first wave Reserva release!",,White Crack,SoldOut,79.5,High,,on a lot of levels,60 to 90cm,100 to 180 grams.,"Funky, creamy, sweet. Flavours are creamy, with peppery hints, sweet notes on the end.","Sweet, Spicy, and Fruity","Sedative pain killing qualities, appetite and sleep inducing",Independently tested at over 27% THC,Medium,
Mephisto Genetics,Mephisto Genetics,Feminized,Autoflower,https://mephistogenetics.com/products/illuminauto-71-wedding-train,"['description', 'patterns', 'fallback']",2026-01-10T22:35:58.541379,"All Illuminauto strains are untested, aside from our usual germination and general quality control tests. These seeds are listed more cheaply than our usual catalogue items, as we use these lines as a testbed to find the best fire to add to our catalogue for longer-term use.Released as part of our June 2023 Illuminauto",,Illuminauto 71 Wedding Train,SoldOut,36.6,Basic,,,,,,,,,,
Mephisto Genetics,Mephisto Genetics,Feminized,Autoflower,https://mephistogenetics.com/products/wedding-doves,"['description', 'patterns', 'fallback']",2026-01-10T22:35:58.988949,"Wedding Doves Mephisto's Wedding x Ravenberry Mephisto's Wedding and Ravenberry's union results in Wedding Doves. This strain is like a matrimonial celebration, bursting with love, sweet berry flavours, and a hint of festive spice.",the Mephisto Genetics range to pair with some epic female Ravenberry plants,Wedding Doves,SoldOut,42.9,Medium,s made in Spain by Mitch & Tim with F1 to F3 selections made for the first time in Canada by our newest team member Terrance,,,,,,,,,
Mephisto Genetics,Mephisto Genetics,Feminized,Autoflower,https://mephistogenetics.com/products/mephistos-wedding,"['structured', 'description', 'patterns', 'fallback']",2026-01-10T22:35:59.387026,"You are cordially invited to witness the union of our beautiful farm friends Marley and Pepper! Our first strain to be bred outside of our little farmstead in España, and instead in our new home in the US by Nico in NorCal. Using Seed Junky’s legendary Wedding Cake cut crossed to Double Grape to make our F1 selections ","North America for some time now, but finding a cut we were completely happy with had become a bit of a running gag at the farm; the ‘Wedding Cake treatment’ become a synonym for nitpicking or splitting hairs",Mephistos Wedding,SoldOut,85.7,Premium,s,", but we weren’t quite done yet, we wanted to add an extra bit of Meph confetti to the white wedding",50 to 80cm,70 to 90 grams.,"Very dank, funky chemical and gas with a hint of grape. Sweet vanilla, like grape Victoria sponge on the exhale.","Gassy, Fruity, and Sweet",Great for aching joints and insomnia.,Intermediate,High,
Mephisto Genetics,Mephisto Genetics,Feminized,Autoflower,https://mephistogenetics.com/products/war-pigs,"['description', 'patterns', 'fallback']",2026-01-10T22:35:59.762318,"Sound the sirens—War Pigs is a battle-ready fusion of Old School Mango Haze x 505 Headbanger, delivering a riot of tropical fruit, classic haze spice, and sour funk. Ripe mango, overripe pineapple, and citrus zest hit first, followed by earthy haze and sharp diesel undertones creeping in like a slow-building storm. Lik",,War Pigs,SoldOut,36.6,Basic,s from our catalogue,,,,,,,,,
Mephisto Genetics,Mephisto Genetics,Feminized,Autoflower,https://mephistogenetics.com/products/1-walt,"['description', 'patterns', 'fallback']",2026-01-10T22:36:00.141074,"A meshing of two of our longest projects; Walter White BX1 was a labour of love on the farm by both Mitch and Tim. Outcrossing a second time with our cut of Krome ‘The White’ for 5 generations, she’s a fine-tuned, more indicia-leaning strain than our Original Walter White and closer to her photoperiod parent. Whilst re","ing a second time with our cut of Krome ‘The White’ for 5 generations, she’s a fine-tuned, more indicia-leaning strain than our Original Walter White and closer to her photoperiod parent",1 Walt,SoldOut,42.9,Medium,s of our new high THC catalogue favourites,,,,,,,,,
Mephisto Genetics,Mephisto Genetics,Feminized,Autoflower,https://mephistogenetics.com/products/violets-crinkle,"['description', 'patterns', 'fallback']",2026-01-10T22:36:00.544149,"“Violet, you’re turning violet!” — and this strain leans all the way in. A stinky purple knockout with a nose like funky gym socks and a punch like a bedtime hammer, Violet’s Crinkle is all gas, skunk, and sedation. Dense, frosty buds with deep purples and a full-bodied couch-lock hit make this one a heavy, dreamy smok",,Violets Crinkle,SoldOut,36.6,Basic,s from our catalogue,#NAME?,,,,,,,,
Mephisto Genetics,Mephisto Genetics,Feminized,Autoflower,https://mephistogenetics.com/products/velvet-cupcakes,"['description', 'patterns', 'fallback']",2026-01-10T22:36:00.950015,"Sweet baked goods aromas, with some added savoury cheese notes, like a fresh, out-of-the-oven gassy cheese flan. Expect a plant that can stretch, but lacks some internodal space, so crank those fans and make sure your airflow is on point.","es, we've paired our Pigletta’s Purple Haze with some of the finest pollen donors from the Mephisto collection",Velvet Cupcakes,SoldOut,42.9,Medium,,,,,,,,,,
Mephisto Genetics,Mephisto Genetics,Feminized,Autoflower,https://mephistogenetics.com/products/valentines-piggy-slap,"['patterns', 'fallback']",2026-01-10T22:36:01.328373,Celebrate Valentine's day with the die-cut Mephisto love-heart Piggy slap!,,Valentines Piggy Slap,SoldOut,36.6,Basic,,,,,,,,,,
Mephisto Genetics,Mephisto Genetics,Feminized,Autoflower,https://mephistogenetics.com/products/illuminauto-69-vaders-musk,"['description', 'patterns', 'fallback']",2026-01-10T22:36:01.720663,"All Illuminauto strains are untested, aside from our usual germination and general quality control tests. These seeds are listed more cheaply than our usual catalogue items, as we use these lines as a testbed to find the best fire to add to our catalogue for longer-term use.Released as part of our June 2023 Illuminauto",,Illuminauto 69 Vaders Musk,SoldOut,36.6,Basic,,,,,,,,,,
Mephisto Genetics,Mephisto Genetics,Feminized,Autoflower,https://mephistogenetics.com/products/universal-love,"['description', 'patterns', 'fallback']",2026-01-10T22:36:02.137482,"Universal Love is a cross of two of our favourite Mephisto Strains, one brand new and one not so new. Alien vs Triangle has long been a fan favourite Mephisto strain, combining speed, yield and strength into the perfect canna-trifecta. She started life herself as an F1 cross before overwhelming demand forced our hand i","of two of our favouriteMephisto Strains, one brand new and one not so new",Universal Love,,40.2,Medium,of our Creme de la Chem,,,,,,,,,
Mephisto Genetics,Mephisto Genetics,Feminized,Autoflower,https://mephistogenetics.com/products/ultra-g13,"['description', 'patterns', 'fallback']",2026-01-10T22:36:02.590022,"Expect her to rapidly stretch and pack on the pounds, with bigger plants and high yields forecast. A more sativa-leaning strain, with a smooth up followed by giggles and rushes of energy.","es, we've paired some of the finest strains in the Mephisto catalogue to a hand-selected Do-si-delirium pollen donor",Ultra G13,SoldOut,42.9,Medium,,,,,,,,,,
Mephisto Genetics,Mephisto Genetics,Feminized,Autoflower,https://mephistogenetics.com/products/tropitizer-og,"['description', 'patterns', 'fallback']",2026-01-10T22:36:02.993136,"Aroma: Sweet green apple, lemon-lime zest, citrus candyEffect: Uplifting and social, transitions into a mellow cruise Tropitizer OG is a juicy midday delight—like packing a fruit cart into a zoot. She mixes sweet apple and zesty lime with a clean citrus snap that lingers long after the exhale. One of the most vigorous ",grows tall and proud with evenly spaced branches and beautifully spaced bud sites,Tropitizer Og,SoldOut,42.9,Medium,s from our catalogue,,,,,,,,,
Mephisto Genetics,Mephisto Genetics,Feminized,Autoflower,https://mephistogenetics.com/products/triple-doubleoz,"['description', 'patterns', 'fallback']",2026-01-10T22:36:03.375424,"Do we even need to sell this one to you? Trip Dub O'z, a cross between MephistO'z and Treble Grape (Double Grape x Grape Crinkle), delivers a potent punch with a rich, grape-forward aroma. This strain offers dense, trichome-covered buds and a powerful high that’s perfect for those who enjoy a fruity twist.",is all about: turning legendary photoperiod cuts into the absolute best autoflowering strains available on the market today,Triple Doubleoz,SoldOut,42.9,Medium,,,,,,,,,,
Mephisto Genetics,Mephisto Genetics,Feminized,Autoflower,https://mephistogenetics.com/products/treble-tizer,"['description', 'patterns', 'fallback']",2026-01-10T22:36:03.777960,Star of the lineup? I think it’s likely. Expect a full-frontal fruit salad assault on your taste buds and a lively high that settles right into couchlock goodness.,,Treble Tizer,SoldOut,36.6,Basic,,,,,,,,,,
Mephisto Genetics,Mephisto Genetics,Feminized,Autoflower,https://mephistogenetics.com/products/toof-fairy,"['structured', 'description', 'patterns', 'fallback']",2026-01-10T22:36:04.282401,"Toof Fairy is a cross of two of our heavy hitting, indica-leaning Original strains. Both initially developed in the early days at the farm, Toof Decay and Ripley’s OG helped put Mephisto Genetics on the map. Two classic photoperiods made automatic, both strains have been mainstays in our ever-changing catalogue over th","of two of our heavy hitting, indica-leaning Original strains",Toof Fairy,,73.2,High,,,60 to 100 cm,90 to 150 grams grams.,"Earthy, sweet chocolate and fruits.","Hard hitting body high, off the scale relaxation","Great for relaxation, insomnia and appetite stimulation",,,
Mephisto Genetics,Mephisto Genetics,Feminized,Autoflower,https://mephistogenetics.com/products/illuminauto-54-tinto-de-verano,"['description', 'patterns', 'fallback']",2026-01-10T22:36:04.668693,Brand new for 2022Illuminauto #54 - Tinto de Verano(Double Grape x Creme de la Chem) x Mango Smile,,Illuminauto 54 Tinto De Verano,SoldOut,36.6,Basic,,,,,,,,,,
Mephisto Genetics,Mephisto Genetics,Feminized,Autoflower,https://mephistogenetics.com/products/thumper-therapy,"['description', 'patterns', 'fallback']",2026-01-10T22:36:05.114952,"Sundae Thumper was our second foray into the world of automatic Gelato strains, crossing Gelato #45 (AKA Michael Jordan) with our Forum Stomper. She’s proved to be wildly popular amongst Meph Heads, with rock-hard flowers and a strong ice-cream aroma. Blue Auto CBD is a line worked out of the super heterogeneous auto h",ing Gelato #45 (AKA Michael Jordan) with our Forum Stomper,Thumper Therapy,SoldOut,42.9,Medium,"s later, we had a chunky parent that creates beautiful mixed ratio CBD plants with amazing aroma and a modern look",,,,,,,,,
Mephisto Genetics,Mephisto Genetics,Feminized,Autoflower,https://mephistogenetics.com/products/throwback-thumper,"['description', 'patterns', 'fallback']",2026-01-10T22:36:05.502769,"Throwback ThumperOld School Mango Haze x Sundae Thumper 25/75Sweet, creamy, fruity and hazey. A greatest hits record of a strain, Throwback Thumper will give you a potent but balanced high. A modern take on classic genetics, she’s like a stunningly remastered vinyl pressing of Zeppelin IV.","es we’ve paired our award-winning Old School Mango Haze with some beautiful ladies from across the Mephisto arsenal, each designed to get those taste buds tingling and the head spinning, in the best possible way",Throwback Thumper,SoldOut,42.9,Medium,,#NAME?,,,,,,,,
Mephisto Genetics,Mephisto Genetics,Feminized,Autoflower,https://mephistogenetics.com/products/the-razzmatazz,"['description', 'patterns', 'fallback']",2026-01-10T22:36:05.998820,"A tall drink of madness at 52–57"", The Razzmatazz grows like she’s on stage; hazy, lanky, and impossible to wrangle. She throws out explosive branching and needs constant attention to stay in line. But tame her chaos, and you’ll be rewarded: over 574 grams dry has been pulled from a single run, and she was absolutely d",,The Razzmatazz,SoldOut,36.6,Basic,s from our catalogue,,,,,,,,,
Mephisto Genetics,Mephisto Genetics,Feminized,Autoflower,https://mephistogenetics.com/products/the-mg-experience,"['description', 'patterns', 'fallback']",2026-01-10T22:36:06.406819,"If you want a cerebral strain to get shit done with, this is your pick. Uplifting, energetic and creative, with lots of classic haze traits and spicey, gassy notes. We expect some added size to Pigletta and oceans of frost packed on every single inch of plant.","es, we've paired our Pigletta’s Purple Haze with some of the finest pollen donors from the Mephisto collection",The Mg Experience,SoldOut,42.9,Medium,,,,,,,,,,
Mephisto Genetics,Mephisto Genetics,Feminized,Autoflower,https://mephistogenetics.com/products/te-squealer-sunrise,"['description', 'patterns', 'fallback']",2026-01-10T22:36:06.823710,"Bursting with a zesty, citrusy aroma underscored by savoury notes and a depth of haze. Expect a smorgasbord of flavour profiles on a larger plant with a slightly delayed explosion into flower.","es, we've paired our Pigletta’s Purple Haze with some of the finest pollen donors from the Mephisto collection",Te Squealer Sunrise,SoldOut,42.9,Medium,,,,,,,,,,
Mephisto Genetics,Mephisto Genetics,Feminized,Autoflower,https://mephistogenetics.com/products/tennessee-honeymoon,"['description', 'patterns', 'fallback']",2026-01-10T22:36:07.194952,"Tennessee Honeymoon is a sultry slow-burner, equal parts dessert cart and garage funk. Some phenos leaned hard into the decadent: fresh-baked blueberry muffins, vanilla glaze, and punch bowl sweetness. Others brought the dank: rubbery chem with a sour twist and a whisper of berries underneath. On the grind, it’s pure o",,Tennessee Honeymoon,SoldOut,36.6,Basic,s from our catalogue,,,,,,,,,
Mephisto Genetics,Mephisto Genetics,Feminized,Autoflower,https://mephistogenetics.com/products/tarte-tatin,"['description', 'patterns', 'fallback']",2026-01-10T22:36:07.641108,"A supremely sedative smoke, with a terp profile you won’t quite believe. Remaining squat, expect lots of leaf tucking and defoliation earlier than you might usually to keep air flowering through and to allow some light to get through to all the budsites she’s guaranteed to be covered in.",,Tarte Tatin,SoldOut,36.6,Basic,,,,,,,,,,
Mephisto Genetics,Mephisto Genetics,Feminized,Autoflower,https://mephistogenetics.com/products/tangfasticz,"['description', 'patterns', 'fallback']",2026-01-10T22:36:08.169316,"Tiny but turbocharged, Tangfasticz brings a citrus explosion in a pint-sized package. With tangy creamsicle terps and rock-hard colas, this fast finisher delivers dense nugs packed with frosty attitude and zesty aroma. Compact, no-fuss, and sharp as a citrus slap—perfect for flavor chasers with tight grow spaces.",,Tangfasticz,SoldOut,36.6,Basic,s from our catalogue,#NAME?,,,,,,,,
Mephisto Genetics,Mephisto Genetics,Feminized,Autoflower,https://mephistogenetics.com/products/swirly-birdie,"['description', 'patterns', 'fallback']",2026-01-10T22:36:08.532594,"Swirly Birdie Sundae Thumper x Ravenberry Sundae Thumper's creamy, dessert-like qualities swirl with Ravenberry's jammy fuel in Swirly Birdie. This strain is a delectable treat, offering a whirlwind of creamy, sweet, and tangy flavours.",the Mephisto Genetics range to pair with some epic female Ravenberry plants,Swirly Birdie,SoldOut,42.9,Medium,s made in Spain by Mitch & Tim with F1 to F3 selections made for the first time in Canada by our newest team member Terrance,,,,,,,,,
Mephisto Genetics,Mephisto Genetics,Feminized,Autoflower,https://mephistogenetics.com/products/sweet-tweet,"['description', 'patterns', 'fallback']",2026-01-10T22:36:08.899158,"Sweet Tweet Iced 'n' Baked x Ravenberry Iced 'n' Baked's cool, sweet profile joins Ravenberry's jammy richness in Sweet Tweet. It's a comforting, dessert-like experience, with a delightful blend of frosting and berry flavours.",the Mephisto Genetics range to pair with some epic female Ravenberry plants,Sweet Tweet,SoldOut,42.9,Medium,s made in Spain by Mitch & Tim with F1 to F3 selections made for the first time in Canada by our newest team member Terrance,,,,,,,,,
