strain_id,seed_bank,strain_name_raw,awards_raw,breeder_name_raw,cbd_content_raw,cbd_max_raw,cbd_min_raw,cbd_range_raw,cbn_content_raw,climate_raw,description_raw,difficulty_raw,dominant_type_raw,effects_all_raw,flavors_all_raw,flowering_time_raw,flowering_type_raw,generation_raw,genetics_lineage_raw,height_indoor_raw,height_outdoor_raw,height_raw,indica_percentage_raw,is_hybrid_raw,s3_html_key_raw,sativa_percentage_raw,scraped_at_raw,seed_type_raw,source_url_raw,suitable_environments_raw,terpenes_raw,thc_average_raw,thc_content_raw,thc_max_raw,thc_min_raw,thc_range_raw,total_grow_time_raw,yield_indoor_raw,yield_outdoor_raw,flowering_time_days_clean,height_indoor_cm_clean,height_outdoor_cm_clean,yield_indoor_g_m2_clean,yield_outdoor_g_plant_clean,total_grow_time_days_clean,ruderalis_percentage_clean,filial_type_clean,breeding_status_clean,strain_name_normalized,aka_names_clean,strain_name_no_aka,similar_spelling_clean,is_autoflower_clean,autoflower_seed_to_harvest_days_min_clean,autoflower_seed_to_harvest_days_max_clean,strain_name_extracted
685341b1-2d62-48eb-a10e-658dedca3fe9,north_atlantic,Zweet OG R2 (F),,,100,,,,,,Buy Zweet OG R2 (F) online from North Atlantic Seed Co. Voted #1 by the ICA Cannabis Awards. Fast shipping & premium genetics.,,,,,,,,,,,,,FALSE,html/bb8ee74cacb6b315.html,,2026-01-12T14:54:51.653544,,https://www.northatlanticseed.com/product/new-zweet-og-r2-f/,,,,,0,0,,,,,,,,,,,,,,zweet og r2 (f),,Zweet OG R2 (F),zweetogr2f,FALSE,,,New Zweet Og
10a8dbf2-9f98-4484-8b95-27b9c7271cff,north_atlantic,Zweet Inzanity Rbx (F),,,100,,,,,,Buy Zweet Inzanity Rbx (F) online from North Atlantic Seed Co. Voted #1 by the ICA Cannabis Awards. Fast shipping & premium genetics.,,,,,,,,,,,,,FALSE,html/d61eca4a8f976b5a.html,,2026-01-12T14:54:51.827663,,https://www.northatlanticseed.com/product/zweet-inzanity-rBX-f/,,1,,,0,0,,,,,,,,,,,,,,zweet inzanity rbx (f),,Zweet Inzanity Rbx (F),zweetinzanityrbxf,FALSE,,,Zweet Inzanity Rbx
25ca3190-06bb-428c-83c5-b734560a6c79,north_atlantic,Zweet,,,100,,,,,,Buy Zweet Auto RBx2 online from North Atlantic Seed Co. Voted #1 by the ICA Cannabis Awards. Fast shipping & premium genetics.,,,,,,,,,,,,,FALSE,html/322ad899eed45887.html,,2026-01-12T14:54:52.037487,,https://www.northatlanticseed.com/product/zweet-auto/,,,,,0,0,,,,,,,,,,,,,,zweet,,Zweet,zweet,TRUE,,,Zweet
2e84519f-1dd2-4f3b-9709-d6a9ccc91266,north_atlantic,Zuzu Fruit (R),,,100,,,,,,Buy Zuzu Fruit (R) online from North Atlantic Seed Co. Voted #1 by the ICA Cannabis Awards. Fast shipping & premium genetics.,,,,,,,,,,,,,FALSE,html/0d23b75f79617a58.html,,2026-01-12T14:54:52.270080,,https://www.northatlanticseed.com/product/zuzu-fruit/,,,,,0,0,,,,,,,,,,,,,,zuzu fruit (r),,Zuzu Fruit (R),zuzufruitr,FALSE,,,Zuzu Fruit
648da2e7-6646-4a32-8aa6-8eb0bef30313,north_atlantic,Zushi Verde (F),,,100,,,,,,Buy Zushi Verde (F) online from North Atlantic Seed Co. Voted #1 by the ICA Cannabis Awards. Fast shipping & premium genetics.,,,,,,,,,,,,,FALSE,html/acac2b6bda18518c.html,,2026-01-12T14:54:52.473883,,https://www.northatlanticseed.com/product/zushi-verde-f-ships-late-september/,,,,,0,0,,,,,,,,,,,,,,zushi verde (f),,Zushi Verde (F),zushiverdef,FALSE,,,Zushi Verde F
0c32d1fb-1b94-4f9f-8e19-22380b2356fb,north_atlantic,Zushi Supreme (Blue Zushi S1) (F),,,100,,,,,,Buy Zushi Supreme (Blue Zushi S1) (F) online from North Atlantic Seed Co. Voted #1 by the ICA Cannabis Awards. Fast shipping & premium genetics.,,,,,,,,,,,,,FALSE,html/6a43852c839abef0.html,,2026-01-12T14:54:52.666113,,https://www.northatlanticseed.com/product/zushi-supreme-blue-zushi-s1-f-ships-late-september/,,,,,0,0,,,,,,,,,,,,,,zushi supreme (blue zushi s1) (f),,Zushi Supreme (Blue Zushi S1) (F),zushisupremebluezushis1f,FALSE,,,Zushi Supreme Blue Zushi S1 F
b8b6d9e7-7668-4d45-b849-0dbdc8858a59,north_atlantic,Zushi Kuro (F) [LIMITED] [SHIPS MID JANUARY],,,100,,,,,,Buy Zushi Kuro (F) [LIMITED] [SHIPS MID JANUARY] online from North Atlantic Seed Co. Voted #1 by the ICA Cannabis Awards. Fast shipping & premium genetics.,,,,,,,,,,,,,FALSE,html/3be2ed87854f1d1b.html,,2026-01-12T14:54:52.849752,,https://www.northatlanticseed.com/product/zushi-kuro-flimited-ships-late-november/,,,,,0,0,,,,,,,,,,,,,,zushi kuro (f) [limited] [ships mid january],,Zushi Kuro (F) [LIMITED] [SHIPS MID JANUARY],zushikuroflimitedshipsmidjanuary,FALSE,,,Zushi Kuro
bd2b030d-334e-4b01-b062-108df460e99a,north_atlantic,Zunderdog (R),,,100,,,,,,Buy Zunderdog (R) online from North Atlantic Seed Co. Voted #1 by the ICA Cannabis Awards. Fast shipping & premium genetics.,,,,,,,,,,,,,FALSE,html/23a7076bdaa74d03.html,,2026-01-12T14:54:53.026071,,https://www.northatlanticseed.com/product/zunderdog-r/,,,,,0,0,,,,,,,,,,,,,,zunderdog (r),,Zunderdog (R),zunderdogr,FALSE,,,Zunderdog
ad3523c1-5c3f-41c7-a36b-2ed53b4854ac,north_atlantic,Zundaya (R),,,100,,,,,,Buy Zundaya (R) online from North Atlantic Seed Co. Voted #1 by the ICA Cannabis Awards. Fast shipping & premium genetics.,,,,,,,,,,,,,FALSE,html/559af7cb2eb510dc.html,,2026-01-12T14:54:53.222141,,https://www.northatlanticseed.com/product/zundaya-r/,,,,,0,0,,,,,,,,,,,,,,zundaya (r),,Zundaya (R),zundayar,FALSE,,,Zundaya
3fae82b6-8aa8-43e3-8ac0-c77790c09dfa,north_atlantic,Ztrawberry (F),,,100,,,,,,Buy Ztrawberry (F) online from North Atlantic Seed Co. Voted #1 by the ICA Cannabis Awards. Fast shipping & premium genetics.,,,,,,,,,,,,,FALSE,html/d6a9b749d05d2a3e.html,,2026-01-12T14:54:53.402551,,https://www.northatlanticseed.com/product/ztrawberry-f/,,,,,0,0,,,,,,,,,,,,,,ztrawberry (f),,Ztrawberry (F),ztrawberryf,FALSE,,,Ztrawberry
27c2417a-40fb-4d8e-abc4-43ae83d8acb6,north_atlantic,Ztrawberriez,2024,,100,,,,,,Buy Ztrawberriez Auto online from North Atlantic Seed Co. Voted #1 by the ICA Cannabis Awards. Fast shipping & premium genetics.,,,,,,,,,,,,,FALSE,html/1c4da579e4f02c57.html,,2026-01-12T14:54:53.632443,,https://www.northatlanticseed.com/product/ztrawberriez-auto/,,,,,0,0,,,,,,,,,,,,,,ztrawberriez,,Ztrawberriez,ztrawberriez,TRUE,,,Ztrawberriez
7d4af460-57f0-47f3-b8c7-4758ce13e07d,north_atlantic,Ztarfighter F3 (R),,,2,,,,,,Buy Ztarfighter F3 (R) online from North Atlantic Seed Co. Voted #1 by the ICA Cannabis Awards. Fast shipping & premium genetics.,,,,,,,,,,,,,FALSE,html/9573a7e2ba1dd4bc.html,,2026-01-12T14:54:53.842564,,https://www.northatlanticseed.com/product/new-ztarfighter-f3-r/,,,,,0,0,,,,,,,,,,,,,,ztarfighter f3 (r),,Ztarfighter F3 (R),ztarfighterf3r,FALSE,,,New Ztarfighter F3
62d28479-e683-403a-8166-5f0c57aeae5e,north_atlantic,Zpice (F),,,100,,,,,,Buy Zpice (F) online from North Atlantic Seed Co. Voted #1 by the ICA Cannabis Awards. Fast shipping & premium genetics.,,,,,,,,,,,,,FALSE,html/c3572b9e5e391d07.html,,2026-01-12T14:54:54.048798,,https://www.northatlanticseed.com/product/zpice-f/,,,,,0,0,,,,,,,,,,,,,,zpice (f),,Zpice (F),zpicef,FALSE,,,Zpice
10520d1c-4ce9-47f8-bf7d-2b86bc374946,north_atlantic,Zoy Sauce (F) [LEMON CHERRY SHERBERT DROP],,,100,,,,,,Buy Zoy Sauce (F) [LEMON CHERRY SHERBERT DROP] online from North Atlantic Seed Co. Voted #1 by the ICA Cannabis Awards. Fast shipping & premium genetics.,,,,,,,,,,,,,FALSE,html/fbb17288e2d37709.html,,2026-01-12T14:54:54.228022,,https://www.northatlanticseed.com/product/zoy-sauce-f-lemon-cherry-sherbert-drop/,,,,,0,0,,,,,,,,,,,,,,zoy sauce (f) [lemon cherry sherbert drop],,Zoy Sauce (F) [LEMON CHERRY SHERBERT DROP],zoysauceflemoncherrysherbertdrop,FALSE,,,Zoy Sauce F Lemon Cherry Sherbert
b185ef90-0a7e-4136-a283-497333b57367,north_atlantic,Zourz S1 (F),,,100,,,,,,Buy Zourz S1 (F) online from North Atlantic Seed Co. Voted #1 by the ICA Cannabis Awards. Fast shipping & premium genetics.,,,,,,,,,,,,,FALSE,html/09362b1a35d0c133.html,,2026-01-12T14:54:54.411986,,https://www.northatlanticseed.com/product/zourz-s1-f/,,3,,,0,0,,,,,,,,,,,,,,zourz s1 (f),,Zourz S1 (F),zourzs1f,FALSE,,,Zourz
59860b42-f073-413e-bcb9-fc30c89a7b19,north_atlantic,Zour Mints (F),,,100,,,,,,Buy Zour Mints (F) online from North Atlantic Seed Co. Voted #1 by the ICA Cannabis Awards. Fast shipping & premium genetics.,,,,,,,,,,,,,FALSE,html/69698f4cf9f15637.html,,2026-01-12T14:54:54.589607,,https://www.northatlanticseed.com/product/zour-mints-f/,,3,,,0,0,,,,,,,,,,,,,,zour mints (f),,Zour Mints (F),zourmintsf,FALSE,,,Zour Mints
e2f9b598-72ce-4c1c-8fb7-8f3e08c53063,north_atlantic,Zour Diesel (F),,,100,,,,,,Buy Zour Diesel (F) online from North Atlantic Seed Co. Voted #1 by the ICA Cannabis Awards. Fast shipping & premium genetics.,,,,,,,,,,,,,FALSE,html/d55b32b695a6489c.html,,2026-01-12T14:54:54.785757,,https://www.northatlanticseed.com/product/zour-diesel-f/,,,,,0,0,,,,,,,,,,,,,,zour diesel (f),,Zour Diesel (F),zourdieself,FALSE,,,Zour Diesel
60beb0f1-d964-4aa0-82ec-a8f7979edf1c,north_atlantic,Zombie D.F. (F),,,0.2,,,,,,Buy Zombie D.F. (F) online from North Atlantic Seed Co. Voted #1 by the ICA Cannabis Awards. Fast shipping & premium genetics.,,,,,,,,,,,,,FALSE,html/f2a6bcaf5da81877.html,,2026-01-12T14:54:55.009349,,https://www.northatlanticseed.com/product/zombie-df-f/,,4,,,0,0,,,,,,,,,,,,,,zombie d.f. (f),,Zombie D.F. (F),zombiedff,FALSE,,,Zombie Df
90e598f7-e245-4eb1-9b04-b264fb7c4447,north_atlantic,Zoap Mintz (F),,,100,,,,,,Buy Zoap Mintz (F) online from North Atlantic Seed Co. Voted #1 by the ICA Cannabis Awards. Fast shipping & premium genetics.,,,,,,,,,,,,,FALSE,html/94655e611baf1b12.html,,2026-01-12T14:54:55.196960,,https://www.northatlanticseed.com/product/zoap-mintz-f-presale/,,,,,0,0,,,,,,,,,,,,,,zoap mintz (f),,Zoap Mintz (F),zoapmintzf,FALSE,,,Zoap Mintz F
8773fd09-c398-4e66-a36b-baca13f665fb,north_atlantic,Zoap (F),,,0.2,,,,,,Buy Zoap (F) online from North Atlantic Seed Co. Voted #1 by the ICA Cannabis Awards. Fast shipping & premium genetics.,,,,,,,,,,,,,FALSE,html/741a591b90951eca.html,,2026-01-12T14:54:55.375146,,https://www.northatlanticseed.com/product/zoap-f-2/,,3,,,24,24,,,,,,,,,,,,,,zoap (f),,Zoap (F),zoapf,FALSE,,,Zoap F 2
5bf2f851-9898-4162-a26a-8aa26fefe689,north_atlantic,Zoap (F),,,100,,,,,,Buy Zoap (F) online from North Atlantic Seed Co. Voted #1 by the ICA Cannabis Awards. Fast shipping & premium genetics.,,,,,,,,Pink Guava #16 x Rainbow Sherbet,120cm,200cm,,50,FALSE,html/24e3fed1ebd81b96.html,,2026-01-12T14:54:55.591693,,https://www.northatlanticseed.com/product/zoap-f-3/,,,,27%,0,0,,,600 gr/Ã£ÂÂ¡,1000 gr/plant,,120,200,600,1000,,,,Hybrid,zoap (f),,Zoap (F),zoapf,FALSE,,,Zoap F 3
94182cf4-fe55-4552-a3b7-fca39364ce73,north_atlantic,Zoap (F),,,100,,,,,,Buy Zoap (F) online from North Atlantic Seed Co. Voted #1 by the ICA Cannabis Awards. Fast shipping & premium genetics.,,,,,,,,,,,,,FALSE,html/f63316c952441be0.html,,2026-01-12T14:54:55.828358,,https://www.northatlanticseed.com/product/zoap-f/,,3,,,26,26,,,,,,,,,,,,,,zoap (f),,Zoap (F),zoapf,FALSE,,,Zoap
3f61fc8a-0746-44ad-9382-99182586b13f,north_atlantic,Zlush Runtz (R),,,100,,,,,,Buy Zlush Runtz (R) online from North Atlantic Seed Co. Voted #1 by the ICA Cannabis Awards. Fast shipping & premium genetics.,,,,,,,,,,,,,FALSE,html/f46deab5a2ec76af.html,,2026-01-12T14:54:56.013606,,https://www.northatlanticseed.com/product/zlush-runtz/,,,,,0,0,,,,,,,,,,,,,,zlush runtz (r),,Zlush Runtz (R),zlushruntzr,FALSE,,,Zlush Runtz
09da811c-2aa5-4fdf-8a59-33f711901085,north_atlantic,Zingerz (R),,,100,,,,,,Buy Zingerz (R) online from North Atlantic Seed Co. Voted #1 by the ICA Cannabis Awards. Fast shipping & premium genetics.,,,,,,,,,,,,,FALSE,html/a9df3475d3204293.html,,2026-01-12T14:54:56.209657,,https://www.northatlanticseed.com/product/zingerz-r/,,,,,0,0,,,,,,,,,,,,,,zingerz (r),,Zingerz (R),zingerzr,FALSE,,,Zingerz
0a26af46-af8d-4a80-8391-7f789e40d37f,north_atlantic,Zinfandel,,,100,,,,,,Buy Zinfandel Auto [LIMITED] online from North Atlantic Seed Co. Voted #1 by the ICA Cannabis Awards. Fast shipping & premium genetics.,,,,,,,,,,,,,FALSE,html/4a1292099e6aaa1f.html,,2026-01-12T14:54:56.400010,,https://www.northatlanticseed.com/product/zinfandel-auto-limited/,,,,,0,0,,,,,,,,,,,,,,zinfandel,,Zinfandel,zinfandel,TRUE,,,Zinfandel
c7634609-52f6-45b9-8ead-18a67ae95bdf,north_atlantic,Zilly String (F),,,100,,,,,,Buy Zilly String (F) online from North Atlantic Seed Co. Voted #1 by the ICA Cannabis Awards. Fast shipping & premium genetics.,,,,,,,,,,,,,FALSE,html/6cbe29b1de76e64f.html,,2026-01-12T14:54:56.609048,,https://www.northatlanticseed.com/product/zilly-string-f/,,4,,,0,0,,,,,,,,,,,,,,zilly string (f),,Zilly String (F),zillystringf,FALSE,,,Zilly String
3e3fedd6-f77d-42d1-83b0-9d713922ddd0,north_atlantic,Zillions (F),,,100,,,,,,Buy Zillions (F) online from North Atlantic Seed Co. Voted #1 by the ICA Cannabis Awards. Fast shipping & premium genetics.,,,,,,,,,,,,,FALSE,html/cb732d74513f4b2f.html,,2026-01-12T14:54:56.797685,,https://www.northatlanticseed.com/product/zillions-f/,,3,,,32,32,,,,,,,,,,,,,,zillions (f),,Zillions (F),zillionsf,FALSE,,,Zillions
03cb91c5-30e2-414b-9780-85030dfacdbd,north_atlantic,Zilk (F) [LIMITED] [LIT 4/20 DROP],,,100,,,,,,Buy Zilk (F) [LIMITED] [LIT 4/20 DROP] online from North Atlantic Seed Co. Voted #1 by the ICA Cannabis Awards. Fast shipping & premium genetics.,,,,,,,,,,,,,FALSE,html/7944d4d782b18ceb.html,,2026-01-12T14:54:56.992933,,https://www.northatlanticseed.com/product/zilk-f-limited-lit-4-20-drop/,,,,,0,0,,,,,,,,,,,,,,zilk (f) [limited] [lit 4/20 drop],,Zilk (F) [LIMITED] [LIT 4/20 DROP],zilkflimitedlit420drop,FALSE,,,Zilk F
86de5a4e-9342-4cfc-847b-9959f410d326,north_atlantic,Z (F),,,2,,,,,,Buy Z (F) online from North Atlantic Seed Co. Voted #1 by the ICA Cannabis Awards. Fast shipping & premium genetics.,,,,,,,,,,,,,FALSE,html/6a4306405dbd09d9.html,,2026-01-12T14:54:57.198489,,https://www.northatlanticseed.com/product/z-f/,,5,,,0,0,,,,,,,,,,,,,,z (f),,Z (F),zf,FALSE,,,Z
934b0d92-de2d-4924-ba95-bdbdddb939fc,north_atlantic,Zerum (F),,,100,,,,,,Buy Zerum (F) online from North Atlantic Seed Co. Voted #1 by the ICA Cannabis Awards. Fast shipping & premium genetics.,,,,,,,,,,,,,FALSE,html/4ca50c78842e39bf.html,,2026-01-12T14:54:57.393846,,https://www.northatlanticseed.com/product/zerum-f/,,,,,0,0,,,,,,,,,,,,,,zerum (f),,Zerum (F),zerumf,FALSE,,,Zerum
4015a524-f3e2-412b-8c3e-8aa484c82ffa,north_atlantic,Zero Gravity x Devil Driver (F),,,100,,,,,,Buy Zero Gravity x Devil Driver (F) online from North Atlantic Seed Co. Voted #1 by the ICA Cannabis Awards. Fast shipping & premium genetics.,,,,,,,,,,,,,FALSE,html/26e515354cb3ba85.html,,2026-01-12T14:54:57.562194,,https://www.northatlanticseed.com/product/zero-gravity-x-devil-driver-f/,,,,,0,0,,,,,,,,,,,,,,zero gravity x devil driver (f),,Zero Gravity x Devil Driver (F),zerogravityxdevildriverf,FALSE,,,Zero Gravity X Devil Driver
3c3d1bb7-c211-496c-9099-a79060a2424e,north_atlantic,Zero Gravity x DanteÃ¢ÂÂs Inferno (F),,,100,,,,,,Buy Zero Gravity x DanteÃ¢ÂÂs Inferno (F) online from North Atlantic Seed Co. Voted #1 by the ICA Cannabis Awards. Fast shipping & premium genetics.,,,,,,,,,,,,,FALSE,html/f3e6511047a4e55b.html,,2026-01-12T14:54:57.735644,,https://www.northatlanticseed.com/product/zero-gravity-x-dantes-inferno/,,,,,0,0,,,,,,,,,,,,,,zero gravity x danteã¢ââs inferno (f),,Zero Gravity x DanteÃ¢ÂÂs Inferno (F),zerogravityxdanteãââsinfernof,FALSE,,,Zero Gravity X Dantes Inferno
